FPGA idle power [mW]:,3590.2

Program energy [mJ]:,15.39

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,69.8
20000,0.001,121.6
40000,0.002,114.4
60000,0.003,117.3
80000,0.004,117.4
100000,0.005,114.4
120000,0.006,102.9
140000,0.007,54.0
160000,0.008,111.5
180000,0.009,127.3
200000,0.010,127.3
220000,0.011,112.9
240000,0.012,147.5
260000,0.013,143.7
280000,0.014,101.4
300000,0.015,77.0
320000,0.016,137.4
340000,0.017,150.3
360000,0.018,141.7
380000,0.019,137.4
400000,0.020,143.2
420000,0.021,143.2
440000,0.022,137.5
460000,0.023,140.3
480000,0.024,146.0
500000,0.025,143.2
520000,0.026,141.7
540000,0.027,141.7
560000,0.028,146.0
580000,0.029,147.5
600000,0.030,141.7
620000,0.031,140.6
640000,0.032,146.0
660000,0.033,148.9
680000,0.034,143.2
700000,0.035,150.3
720000,0.036,144.6
740000,0.037,146.0
760000,0.038,141.7
780000,0.039,150.3
800000,0.040,148.4
820000,0.041,146.0
840000,0.042,143.2
860000,0.043,144.6
880000,0.044,137.4
900000,0.045,150.3
920000,0.046,143.2
940000,0.047,133.1
960000,0.048,146.0
980000,0.049,148.4
1000000,0.050,140.3
1020000,0.051,143.2
1040000,0.052,144.6
1060000,0.053,140.3
1080000,0.054,144.6
1100000,0.055,133.1
1120000,0.056,143.2
1140000,0.057,143.2
1160000,0.058,134.4
1180000,0.059,141.7
1200000,0.060,140.3
1220000,0.061,143.2
1240000,0.062,143.2
1260000,0.063,141.7
1280000,0.064,146.0
1300000,0.065,147.5
1320000,0.066,143.2
1340000,0.067,142.2
1360000,0.068,144.6
1380000,0.069,147.5
1400000,0.070,143.2
1420000,0.071,127.3
1440000,0.072,143.2
1460000,0.073,137.4
1480000,0.074,130.2
1500000,0.075,133.1
1520000,0.076,129.8
1540000,0.077,128.8
1560000,0.078,124.5
1580000,0.079,128.8
1600000,0.080,138.8
1620000,0.081,124.5
1640000,0.082,124.5
1660000,0.083,133.1
1680000,0.084,131.6
1700000,0.085,140.6
1720000,0.086,141.7
1740000,0.087,147.5
1760000,0.088,146.0
1780000,0.089,147.5
1800000,0.090,147.5
1820000,0.091,136.0
1840000,0.092,151.8
1860000,0.093,143.2
1880000,0.094,132.9
1900000,0.095,56.8
1920000,0.096,115.8
1940000,0.097,124.5
1960000,0.098,108.6
1980000,0.099,111.5
2000000,0.100,117.3
2020000,0.101,114.4
2040000,0.102,107.2
2060000,0.103,109.6
2080000,0.104,114.4
2100000,0.105,120.1
2120000,0.106,123.0
2140000,0.107,105.7
2160000,0.108,118.7
2180000,0.109,112.9
2200000,0.110,114.4
2220000,0.111,110.1
2240000,0.112,117.4
2260000,0.113,118.7
2280000,0.114,120.1
2300000,0.115,114.4
2320000,0.116,118.7
