FPGA idle power [mW]:,3555.3

Program energy [mJ]:,10.92

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,21.2
20000,0.001,98.0
40000,0.002,91.7
60000,0.003,52.9
80000,0.004,84.5
100000,0.005,84.5
120000,0.006,94.6
140000,0.007,52.9
160000,0.008,44.3
180000,0.009,80.2
200000,0.010,67.1
220000,0.011,68.7
240000,0.012,68.7
260000,0.013,116.2
280000,0.014,111.9
300000,0.015,41.4
320000,0.016,73.0
340000,0.017,73.0
360000,0.018,90.3
380000,0.019,87.2
400000,0.020,80.2
420000,0.021,88.9
440000,0.022,93.2
460000,0.023,103.2
480000,0.024,100.4
500000,0.025,103.2
520000,0.026,107.6
540000,0.027,104.7
560000,0.028,107.3
580000,0.029,109.0
600000,0.030,110.4
620000,0.031,106.1
640000,0.032,107.6
660000,0.033,81.7
680000,0.034,97.5
700000,0.035,84.5
720000,0.036,86.0
740000,0.037,85.6
760000,0.038,93.2
780000,0.039,81.7
800000,0.040,83.1
820000,0.041,91.7
840000,0.042,91.7
860000,0.043,78.8
880000,0.044,104.7
900000,0.045,104.7
920000,0.046,115.1
940000,0.047,113.3
960000,0.048,107.6
980000,0.049,116.2
1000000,0.050,116.2
1020000,0.051,107.6
1040000,0.052,103.2
1060000,0.053,100.4
1080000,0.054,116.2
1100000,0.055,85.6
1120000,0.056,81.7
1140000,0.057,87.4
1160000,0.058,88.9
1180000,0.059,91.7
1200000,0.060,88.9
1220000,0.061,84.5
1240000,0.062,94.6
1260000,0.063,87.4
1280000,0.064,84.1
1300000,0.065,90.3
1320000,0.066,98.9
1340000,0.067,109.0
1360000,0.068,107.6
1380000,0.069,104.7
1400000,0.070,116.2
1420000,0.071,119.1
1440000,0.072,104.7
1460000,0.073,107.3
1480000,0.074,119.1
1500000,0.075,110.4
1520000,0.076,109.0
1540000,0.077,90.3
1560000,0.078,96.0
1580000,0.079,90.3
1600000,0.080,83.1
1620000,0.081,90.3
1640000,0.082,98.0
1660000,0.083,94.6
1680000,0.084,96.0
1700000,0.085,80.2
1720000,0.086,98.9
1740000,0.087,88.9
1760000,0.088,103.2
1780000,0.089,103.2
1800000,0.090,110.4
1820000,0.091,105.8
1840000,0.092,101.8
1860000,0.093,104.7
1880000,0.094,109.0
1900000,0.095,110.4
1920000,0.096,34.2
1940000,0.097,80.2
1960000,0.098,87.4
1980000,0.099,83.1
2000000,0.100,74.8
2020000,0.101,77.3
2040000,0.102,83.1
2060000,0.103,83.1
2080000,0.104,74.5
2100000,0.105,77.3
2120000,0.106,86.0
2140000,0.107,87.4
2160000,0.108,86.0
2180000,0.109,68.6
2200000,0.110,80.2
2220000,0.111,86.0
2240000,0.112,90.3
2260000,0.113,75.9
2280000,0.114,77.3
2300000,0.115,77.3
2320000,0.116,86.0
2340000,0.117,80.2
2360000,0.118,84.1
2380000,0.119,84.5
