FPGA idle power [mW]:,3564.0

Program energy [mJ]:,6.80

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,2.6
20000,0.001,31.2
40000,0.002,26.9
60000,0.003,15.4
80000,0.004,8.2
100000,0.005,37.0
120000,0.006,32.7
140000,0.007,31.2
160000,0.008,18.3
180000,0.009,19.6
200000,0.010,16.9
220000,0.011,28.4
240000,0.012,21.2
260000,0.013,22.6
280000,0.014,14.0
300000,0.015,15.4
320000,0.016,15.4
340000,0.017,18.3
360000,0.018,16.5
380000,0.019,12.5
400000,0.020,12.5
420000,0.021,16.9
440000,0.022,12.5
460000,0.023,14.0
480000,0.024,15.4
500000,0.025,15.4
520000,0.026,14.0
540000,0.027,44.4
560000,0.028,52.8
580000,0.029,60.0
600000,0.030,61.5
620000,0.031,52.8
640000,0.032,52.8
660000,0.033,68.6
680000,0.034,58.6
700000,0.035,70.1
720000,0.036,69.2
740000,0.037,67.2
760000,0.038,73.0
780000,0.039,61.5
800000,0.040,73.0
820000,0.041,68.6
840000,0.042,74.4
860000,0.043,61.5
880000,0.044,55.7
900000,0.045,58.4
920000,0.046,55.7
940000,0.047,55.7
960000,0.048,57.1
980000,0.049,58.6
1000000,0.050,70.1
1020000,0.051,60.0
1040000,0.052,54.3
1060000,0.053,58.6
1080000,0.054,55.3
1100000,0.055,70.1
1120000,0.056,77.3
1140000,0.057,70.1
1160000,0.058,70.1
1180000,0.059,80.2
1200000,0.060,62.9
1220000,0.061,68.6
1240000,0.062,68.6
1260000,0.063,73.8
1280000,0.064,73.0
1300000,0.065,60.0
1320000,0.066,51.4
1340000,0.067,52.8
1360000,0.068,51.4
1380000,0.069,55.7
1400000,0.070,52.8
1420000,0.071,54.3
1440000,0.072,52.2
1460000,0.073,55.7
1480000,0.074,52.8
1500000,0.075,55.7
1520000,0.076,57.1
1540000,0.077,54.3
1560000,0.078,65.8
1580000,0.079,71.5
1600000,0.080,57.1
1620000,0.081,64.6
1640000,0.082,61.5
1660000,0.083,75.8
1680000,0.084,70.1
1700000,0.085,65.8
1720000,0.086,81.6
1740000,0.087,65.8
1760000,0.088,60.0
1780000,0.089,55.7
1800000,0.090,66.1
1820000,0.091,60.0
1840000,0.092,55.7
1860000,0.093,54.3
1880000,0.094,57.1
1900000,0.095,64.3
1920000,0.096,58.6
1940000,0.097,58.6
1960000,0.098,45.6
1980000,0.099,70.7
2000000,0.100,73.0
2020000,0.101,73.0
2040000,0.102,64.3
2060000,0.103,67.2
2080000,0.104,68.6
2100000,0.105,65.8
2120000,0.106,26.9
2140000,0.107,19.7
2160000,0.108,58.4
2180000,0.109,64.3
2200000,0.110,61.5
2220000,0.111,55.7
2240000,0.112,65.8
2260000,0.113,64.3
2280000,0.114,71.5
2300000,0.115,62.9
2320000,0.116,60.0
2340000,0.117,63.0
2360000,0.118,62.9
2380000,0.119,52.8
2400000,0.120,64.3
2420000,0.121,73.0
2440000,0.122,65.8
2460000,0.123,65.8
2480000,0.124,64.3
2500000,0.125,67.2
2520000,0.126,64.6
2540000,0.127,74.4
2560000,0.128,41.3
