FPGA idle power [mW]:,3545.6

Program energy [mJ]:,6.19

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,20.9
20000,0.001,41.1
40000,0.002,28.1
60000,0.003,25.2
80000,0.004,29.5
100000,0.005,33.8
120000,0.006,30.9
140000,0.007,20.9
160000,0.008,38.1
180000,0.009,45.3
200000,0.010,47.3
220000,0.011,35.3
240000,0.012,55.4
260000,0.013,55.4
280000,0.014,32.4
300000,0.015,25.2
320000,0.016,51.1
340000,0.017,49.6
360000,0.018,52.5
380000,0.019,52.0
400000,0.020,52.5
420000,0.021,48.2
440000,0.022,64.0
460000,0.023,61.2
480000,0.024,56.8
500000,0.025,65.5
520000,0.026,61.2
540000,0.027,58.3
560000,0.028,59.7
580000,0.029,58.3
600000,0.030,65.5
620000,0.031,62.6
640000,0.032,59.7
660000,0.033,59.7
680000,0.034,58.3
700000,0.035,62.6
720000,0.036,59.7
740000,0.037,62.8
760000,0.038,65.5
780000,0.039,65.5
800000,0.040,54.0
820000,0.041,56.8
840000,0.042,49.6
860000,0.043,62.6
880000,0.044,58.3
900000,0.045,59.7
920000,0.046,61.3
940000,0.047,61.2
960000,0.048,61.2
980000,0.049,56.8
1000000,0.050,59.7
1020000,0.051,65.5
1040000,0.052,49.6
1060000,0.053,55.4
1080000,0.054,51.1
1100000,0.055,48.9
1120000,0.056,55.4
1140000,0.057,43.9
1160000,0.058,52.5
1180000,0.059,58.3
1200000,0.060,52.5
1220000,0.061,54.0
1240000,0.062,46.8
1260000,0.063,55.4
1280000,0.064,61.3
1300000,0.065,55.4
1320000,0.066,58.3
1340000,0.067,66.9
1360000,0.068,62.6
1380000,0.069,52.5
1400000,0.070,56.8
1420000,0.071,54.0
1440000,0.072,59.7
1460000,0.073,64.4
1480000,0.074,52.5
1500000,0.075,66.9
1520000,0.076,65.5
1540000,0.077,54.0
1560000,0.078,59.7
1580000,0.079,51.1
1600000,0.080,65.5
1620000,0.081,66.9
1640000,0.082,50.4
1660000,0.083,59.7
1680000,0.084,58.3
1700000,0.085,56.8
1720000,0.086,54.0
1740000,0.087,59.7
1760000,0.088,59.7
1780000,0.089,58.3
1800000,0.090,54.0
1820000,0.091,50.4
1840000,0.092,33.8
1860000,0.093,33.8
1880000,0.094,61.2
1900000,0.095,58.3
1920000,0.096,61.2
1940000,0.097,61.2
1960000,0.098,54.0
1980000,0.099,56.8
2000000,0.100,59.7
2020000,0.101,58.3
2040000,0.102,54.0
2060000,0.103,65.5
2080000,0.104,55.4
2100000,0.105,62.6
2120000,0.106,66.9
2140000,0.107,56.8
2160000,0.108,59.7
2180000,0.109,58.2
2200000,0.110,58.3
2220000,0.111,56.8
2240000,0.112,59.7
2260000,0.113,54.0
