FPGA idle power [mW]:,3577.7

Program energy [mJ]:,12.42

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,0.3
20000,0.001,74.1
40000,0.002,96.7
60000,0.003,78.0
80000,0.004,83.7
100000,0.005,90.9
120000,0.006,90.9
140000,0.007,90.9
160000,0.008,40.6
180000,0.009,90.9
200000,0.010,109.7
220000,0.011,105.3
240000,0.012,93.8
260000,0.013,121.1
280000,0.014,122.6
300000,0.015,92.4
320000,0.016,44.9
340000,0.017,99.5
360000,0.018,111.1
380000,0.019,105.1
400000,0.020,121.1
420000,0.021,122.6
440000,0.022,125.4
460000,0.023,118.2
480000,0.024,125.4
500000,0.025,135.5
520000,0.026,132.6
540000,0.027,124.0
560000,0.028,123.7
580000,0.029,124.0
600000,0.030,128.3
620000,0.031,116.8
640000,0.032,115.4
660000,0.033,119.7
680000,0.034,113.9
700000,0.035,116.8
720000,0.036,109.6
740000,0.037,119.0
760000,0.038,112.5
780000,0.039,112.5
800000,0.040,108.2
820000,0.041,121.1
840000,0.042,128.3
860000,0.043,121.1
880000,0.044,124.0
900000,0.045,124.0
920000,0.046,133.0
940000,0.047,126.9
960000,0.048,122.6
980000,0.049,125.4
1000000,0.050,121.1
1020000,0.051,121.1
1040000,0.052,108.2
1060000,0.053,113.9
1080000,0.054,118.2
1100000,0.055,120.6
1120000,0.056,113.9
1140000,0.057,115.4
1160000,0.058,119.7
1180000,0.059,122.6
1200000,0.060,112.5
1220000,0.061,129.8
1240000,0.062,122.6
1260000,0.063,134.1
1280000,0.064,125.2
1300000,0.065,124.0
1320000,0.066,126.9
1340000,0.067,118.2
1360000,0.068,128.3
1380000,0.069,126.9
1400000,0.070,119.7
1420000,0.071,122.6
1440000,0.072,119.7
1460000,0.073,115.9
1480000,0.074,121.1
1500000,0.075,115.4
1520000,0.076,113.9
1540000,0.077,115.4
1560000,0.078,119.7
1580000,0.079,121.1
1600000,0.080,121.1
1620000,0.081,119.7
1640000,0.082,131.4
1660000,0.083,128.3
1680000,0.084,122.6
1700000,0.085,129.8
1720000,0.086,124.0
1740000,0.087,52.1
1760000,0.088,89.5
1780000,0.089,109.6
1800000,0.090,109.6
1820000,0.091,103.5
1840000,0.092,111.1
1860000,0.093,105.3
1880000,0.094,98.1
1900000,0.095,121.1
1920000,0.096,115.4
1940000,0.097,99.5
1960000,0.098,105.3
1980000,0.099,109.6
2000000,0.100,108.2
2020000,0.101,99.5
2040000,0.102,113.9
2060000,0.103,122.6
2080000,0.104,103.9
2100000,0.105,109.6
2120000,0.106,109.6
2140000,0.107,108.2
2160000,0.108,106.7
2180000,0.109,111.3
2200000,0.110,115.4
