FPGA idle power [mW]:,3566.5

Program energy [mJ]:,11.18

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,14.4
20000,0.001,82.2
40000,0.002,79.1
60000,0.003,35.9
80000,0.004,61.8
100000,0.005,53.2
120000,0.006,69.0
140000,0.007,60.4
160000,0.008,28.7
180000,0.009,35.9
200000,0.010,35.7
220000,0.011,34.5
240000,0.012,34.5
260000,0.013,35.9
280000,0.014,34.5
300000,0.015,33.1
320000,0.016,38.8
340000,0.017,37.4
360000,0.018,46.0
380000,0.019,45.0
400000,0.020,34.5
420000,0.021,48.9
440000,0.022,31.6
460000,0.023,61.8
480000,0.024,96.4
500000,0.025,96.4
520000,0.026,97.8
540000,0.027,103.6
560000,0.028,110.1
580000,0.029,100.7
600000,0.030,109.3
620000,0.031,110.7
640000,0.032,107.9
660000,0.033,105.0
680000,0.034,103.6
700000,0.035,106.4
720000,0.036,96.4
740000,0.037,110.1
760000,0.038,83.4
780000,0.039,107.9
800000,0.040,113.6
820000,0.041,106.4
840000,0.042,96.4
860000,0.043,97.8
880000,0.044,115.1
900000,0.045,115.1
920000,0.046,88.4
940000,0.047,105.0
960000,0.048,115.1
980000,0.049,106.4
1000000,0.050,112.2
1020000,0.051,97.8
1040000,0.052,109.3
1060000,0.053,110.7
1080000,0.054,109.3
1100000,0.055,99.2
1120000,0.056,107.9
1140000,0.057,117.9
1160000,0.058,113.6
1180000,0.059,99.2
1200000,0.060,112.2
1220000,0.061,110.7
1240000,0.062,105.0
1260000,0.063,99.2
1280000,0.064,105.4
1300000,0.065,103.6
1320000,0.066,102.1
1340000,0.067,106.4
1360000,0.068,106.4
1380000,0.069,96.4
1400000,0.070,109.3
1420000,0.071,100.7
1440000,0.072,112.2
1460000,0.073,100.8
1480000,0.074,113.6
1500000,0.075,109.3
1520000,0.076,102.1
1540000,0.077,102.1
1560000,0.078,109.3
1580000,0.079,105.0
1600000,0.080,96.4
1620000,0.081,109.3
1640000,0.082,103.9
1660000,0.083,103.6
1680000,0.084,109.3
1700000,0.085,105.0
1720000,0.086,103.6
1740000,0.087,99.2
1760000,0.088,92.0
1780000,0.089,109.3
1800000,0.090,109.3
1820000,0.091,108.5
1840000,0.092,110.7
1860000,0.093,109.3
1880000,0.094,102.1
1900000,0.095,110.7
1920000,0.096,102.1
1940000,0.097,103.6
1960000,0.098,102.1
1980000,0.099,35.9
2000000,0.100,85.3
2020000,0.101,93.5
2040000,0.102,100.7
2060000,0.103,100.7
2080000,0.104,92.0
2100000,0.105,87.7
2120000,0.106,99.2
2140000,0.107,94.9
2160000,0.108,106.4
2180000,0.109,88.4
2200000,0.110,100.7
2220000,0.111,102.1
2240000,0.112,100.7
2260000,0.113,94.9
2280000,0.114,99.2
2300000,0.115,100.7
2320000,0.116,87.7
2340000,0.117,92.0
2360000,0.118,89.9
2380000,0.119,90.6
2400000,0.120,100.7
2420000,0.121,76.2
2440000,0.122,97.8
