configuration,area,executionCycles,energy,timing,cyc,stall,bun,syl,nop,iacc,imiss,dracc,drmiss,dwacc,dwmiss
11000000:2:2k, 6039.0,2678422,7.04,True, 1626016,408094,1050418,5314465,541925,1217933,10071,265928,31852,49289,37076
11000000:4:8k, 6385.6,2367330,7.60,True, 1408687,179226,1050429,6254515,1481951,1229489,604,265926,15597,49292,36808
11000000:4:2k, 6082.0,2772586,7.13,True, 1683045,453532,1050483,6254745,1482040,1229552,13642,265933,31852,49303,37081
11000000:2:8k, 6470.1,2341927,8.59,True, 1394323,176461,1050364,5314286,541887,1217874,393,265921,15597,49278,36802
11000000:2:4k, 5993.5,2388736,8.64,True, 1423079,205208,1050373,5314316,541893,1217883,409,265922,20090,49280,36936
11000000:4:4k, 6246.5,2433135,8.58,True, 1450419,220926,1050465,6254668,1482010,1229532,1597,265930,20090,49299,36944
