FPGA idle power [mW]:,3555.8

Program energy [mJ]:,14.09

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,82.6
20000,0.001,138.7
40000,0.002,124.3
60000,0.003,133.0
80000,0.004,131.5
100000,0.005,133.0
120000,0.006,91.2
140000,0.007,39.4
160000,0.008,113.0
180000,0.009,122.9
200000,0.010,128.6
220000,0.011,118.6
240000,0.012,144.5
260000,0.013,140.1
280000,0.014,71.1
300000,0.015,84.0
320000,0.016,115.7
340000,0.017,142.5
360000,0.018,147.3
380000,0.019,144.5
400000,0.020,138.7
420000,0.021,145.9
440000,0.022,144.5
460000,0.023,141.6
480000,0.024,131.5
500000,0.025,137.3
520000,0.026,137.8
540000,0.027,141.6
560000,0.028,143.0
580000,0.029,147.3
600000,0.030,128.6
620000,0.031,137.3
640000,0.032,140.1
660000,0.033,141.6
680000,0.034,137.3
700000,0.035,139.4
720000,0.036,135.8
740000,0.037,134.4
760000,0.038,134.4
780000,0.039,133.0
800000,0.040,131.5
820000,0.041,137.3
840000,0.042,138.7
860000,0.043,137.3
880000,0.044,136.3
900000,0.045,138.7
920000,0.046,140.1
940000,0.047,131.5
960000,0.048,134.4
980000,0.049,140.1
1000000,0.050,138.7
1020000,0.051,140.1
1040000,0.052,141.6
1060000,0.053,140.9
1080000,0.054,140.1
1100000,0.055,148.8
1120000,0.056,138.7
1140000,0.057,130.1
1160000,0.058,135.8
1180000,0.059,143.0
1200000,0.060,137.3
1220000,0.061,138.7
1240000,0.062,136.3
1260000,0.063,144.5
1280000,0.064,144.5
1300000,0.065,135.8
1320000,0.066,140.1
1340000,0.067,140.1
1360000,0.068,141.6
1380000,0.069,144.5
1400000,0.070,144.5
1420000,0.071,145.6
1440000,0.072,124.3
1460000,0.073,117.1
1480000,0.074,118.6
1500000,0.075,122.9
1520000,0.076,121.4
1540000,0.077,107.1
1560000,0.078,121.4
1580000,0.079,122.9
1600000,0.080,116.1
1620000,0.081,109.9
1640000,0.082,120.0
1660000,0.083,120.0
1680000,0.084,128.6
1700000,0.085,133.0
1720000,0.086,134.4
1740000,0.087,135.8
1760000,0.088,140.1
1780000,0.089,131.6
1800000,0.090,138.7
1820000,0.091,145.9
1840000,0.092,138.7
1860000,0.093,98.4
1880000,0.094,62.5
1900000,0.095,84.0
1920000,0.096,86.9
1940000,0.097,72.5
1960000,0.098,80.5
1980000,0.099,94.1
2000000,0.100,85.5
2020000,0.101,81.2
2040000,0.102,86.9
2060000,0.103,84.0
2080000,0.104,89.8
2100000,0.105,79.7
2120000,0.106,89.8
2140000,0.107,91.3
2160000,0.108,82.6
2180000,0.109,86.9
2200000,0.110,88.4
2220000,0.111,91.2
2240000,0.112,85.5
2260000,0.113,79.7
2280000,0.114,88.4
