FPGA idle power [mW]:,3541.6

Program energy [mJ]:,13.17

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-12.5
20000,0.001,56.5
40000,0.002,70.9
60000,0.003,73.8
80000,0.004,63.7
100000,0.005,69.5
120000,0.006,73.0
140000,0.007,49.3
160000,0.008,34.9
180000,0.009,70.9
200000,0.010,69.5
220000,0.011,75.2
240000,0.012,70.9
260000,0.013,108.3
280000,0.014,119.8
300000,0.015,114.8
320000,0.016,40.7
340000,0.017,102.6
360000,0.018,134.2
380000,0.019,140.0
400000,0.020,141.4
420000,0.021,137.1
440000,0.022,140.0
460000,0.023,141.4
480000,0.024,144.3
500000,0.025,134.2
520000,0.026,142.8
540000,0.027,145.7
560000,0.028,138.5
580000,0.029,140.0
600000,0.030,141.4
620000,0.031,132.8
640000,0.032,151.5
660000,0.033,133.4
680000,0.034,138.5
700000,0.035,144.3
720000,0.036,144.3
740000,0.037,144.3
760000,0.038,138.5
780000,0.039,138.5
800000,0.040,140.0
820000,0.041,125.6
840000,0.042,145.8
860000,0.043,142.8
880000,0.044,142.8
900000,0.045,145.7
920000,0.046,150.0
940000,0.047,145.7
960000,0.048,132.8
980000,0.049,124.1
1000000,0.050,141.4
1020000,0.051,147.4
1040000,0.052,128.5
1060000,0.053,132.8
1080000,0.054,129.9
1100000,0.055,141.4
1120000,0.056,134.2
1140000,0.057,124.1
1160000,0.058,128.5
1180000,0.059,137.1
1200000,0.060,130.3
1220000,0.061,127.0
1240000,0.062,127.0
1260000,0.063,142.8
1280000,0.064,141.4
1300000,0.065,122.7
1320000,0.066,135.6
1340000,0.067,144.3
1360000,0.068,144.3
1380000,0.069,138.1
1400000,0.070,141.4
1420000,0.071,132.8
1440000,0.072,134.2
1460000,0.073,122.7
1480000,0.074,131.3
1500000,0.075,116.9
1520000,0.076,104.0
1540000,0.077,106.9
1560000,0.078,99.3
1580000,0.079,95.4
1600000,0.080,101.1
1620000,0.081,102.6
1640000,0.082,108.3
1660000,0.083,115.5
1680000,0.084,108.3
1700000,0.085,112.6
1720000,0.086,118.4
1740000,0.087,135.0
1760000,0.088,134.2
1780000,0.089,129.9
1800000,0.090,138.5
1820000,0.091,138.5
1840000,0.092,131.3
1860000,0.093,131.3
1880000,0.094,128.5
1900000,0.095,137.1
1920000,0.096,52.9
1940000,0.097,56.5
1960000,0.098,68.0
1980000,0.099,63.7
2000000,0.100,81.0
2020000,0.101,69.5
2040000,0.102,69.5
2060000,0.103,70.9
2080000,0.104,72.3
2100000,0.105,77.7
2120000,0.106,73.8
2140000,0.107,82.4
2160000,0.108,76.7
2180000,0.109,72.3
2200000,0.110,72.3
2220000,0.111,72.3
2240000,0.112,70.9
2260000,0.113,69.5
2280000,0.114,76.1
2300000,0.115,79.5
2320000,0.116,78.1
2340000,0.117,73.8
