FPGA idle power [mW]:,3574.3

Program energy [mJ]:,12.47

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,69.9
20000,0.001,87.1
40000,0.002,59.8
60000,0.003,79.9
80000,0.004,94.3
100000,0.005,92.9
120000,0.006,87.1
140000,0.007,36.8
160000,0.008,110.0
180000,0.009,115.9
200000,0.010,120.2
220000,0.011,88.6
240000,0.012,126.0
260000,0.013,131.7
280000,0.014,71.3
300000,0.015,64.1
320000,0.016,102.9
340000,0.017,120.9
360000,0.018,123.1
380000,0.019,117.3
400000,0.020,113.0
420000,0.021,130.3
440000,0.022,127.4
460000,0.023,128.8
480000,0.024,136.0
500000,0.025,120.2
520000,0.026,125.5
540000,0.027,131.7
560000,0.028,126.0
580000,0.029,126.0
600000,0.030,140.4
620000,0.031,120.2
640000,0.032,128.8
660000,0.033,136.0
680000,0.034,131.7
700000,0.035,133.3
720000,0.036,131.7
740000,0.037,133.2
760000,0.038,131.7
780000,0.039,128.8
800000,0.040,133.2
820000,0.041,138.9
840000,0.042,133.2
860000,0.043,126.0
880000,0.044,133.3
900000,0.045,134.6
920000,0.046,133.2
940000,0.047,126.0
960000,0.048,121.6
980000,0.049,118.8
1000000,0.050,124.5
1020000,0.051,120.2
1040000,0.052,118.8
1060000,0.053,111.6
1080000,0.054,118.8
1100000,0.055,117.3
1120000,0.056,107.3
1140000,0.057,120.2
1160000,0.058,123.1
1180000,0.059,130.3
1200000,0.060,123.1
1220000,0.061,126.0
1240000,0.062,127.1
1260000,0.063,127.4
1280000,0.064,124.5
1300000,0.065,127.4
1320000,0.066,140.4
1340000,0.067,133.2
1360000,0.068,130.3
1380000,0.069,137.5
1400000,0.070,130.3
1420000,0.071,133.3
1440000,0.072,128.8
1460000,0.073,123.1
1480000,0.074,137.5
1500000,0.075,131.7
1520000,0.076,128.8
1540000,0.077,128.8
1560000,0.078,136.0
1580000,0.079,130.3
1600000,0.080,122.4
1620000,0.081,133.2
1640000,0.082,136.0
1660000,0.083,45.4
1680000,0.084,100.1
1700000,0.085,105.8
1720000,0.086,105.8
1740000,0.087,104.4
1760000,0.088,102.9
1780000,0.089,111.6
1800000,0.090,104.4
1820000,0.091,108.7
1840000,0.092,105.8
1860000,0.093,104.4
1880000,0.094,108.7
1900000,0.095,107.3
1920000,0.096,104.4
1940000,0.097,108.7
1960000,0.098,113.1
1980000,0.099,110.1
2000000,0.100,105.8
2020000,0.101,100.1
2040000,0.102,113.0
2060000,0.103,111.6
2080000,0.104,110.1
2100000,0.105,100.1
2120000,0.106,110.1
