median: success
median
CYC: 706990
STALL: 166274
BUN: 432164
SYL: 1527328
NOP: 120143
IACC: 540758
IMISS: 130
DRACC: 38565
DRMISS: 12669
DWACC: 21309
DWMISS: 21282

compress: success
compress
CYC: 1102193
STALL: 461121
BUN: 516832
SYL: 1765192
NOP: 167349
IACC: 641114
IMISS: 20281
DRACC: 68147
DRMISS: 14178
DWACC: 42752
DWMISS: 27949

bcnt: success
bcnt
CYC: 1111953
STALL: 467666
BUN: 519674
SYL: 1773224
NOP: 168917
IACC: 644324
IMISS: 20569
DRACC: 69115
DRMISS: 14356
DWACC: 43318
DWMISS: 28176

