FPGA idle power [mW]:,3538.1

Program energy [mJ]:,7.01

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,3.9
20000,0.001,37.0
40000,0.002,38.4
60000,0.003,31.2
80000,0.004,35.6
100000,0.005,39.9
120000,0.006,37.8
140000,0.007,19.7
160000,0.008,31.2
180000,0.009,45.6
200000,0.010,49.9
220000,0.011,39.9
240000,0.012,60.0
260000,0.013,64.3
280000,0.014,58.6
300000,0.015,13.0
320000,0.016,57.1
340000,0.017,67.2
360000,0.018,68.7
380000,0.019,61.5
400000,0.020,70.1
420000,0.021,74.4
440000,0.022,68.7
460000,0.023,70.1
480000,0.024,71.9
500000,0.025,68.7
520000,0.026,64.3
540000,0.027,62.9
560000,0.028,74.4
580000,0.029,77.3
600000,0.030,61.5
620000,0.031,61.5
640000,0.032,62.9
660000,0.033,64.1
680000,0.034,62.9
700000,0.035,52.8
720000,0.036,62.9
740000,0.037,65.8
760000,0.038,61.5
780000,0.039,58.6
800000,0.040,58.6
820000,0.041,58.6
840000,0.042,65.7
860000,0.043,60.0
880000,0.044,73.0
900000,0.045,74.4
920000,0.046,77.3
940000,0.047,70.1
960000,0.048,70.1
980000,0.049,71.5
1000000,0.050,71.5
1020000,0.051,68.8
1040000,0.052,70.1
1060000,0.053,68.7
1080000,0.054,71.5
1100000,0.055,64.3
1120000,0.056,65.8
1140000,0.057,62.9
1160000,0.058,64.3
1180000,0.059,65.8
1200000,0.060,70.3
1220000,0.061,70.1
1240000,0.062,73.0
1260000,0.063,68.7
1280000,0.064,70.1
1300000,0.065,73.0
1320000,0.066,61.5
1340000,0.067,74.4
1360000,0.068,70.1
1380000,0.069,70.3
1400000,0.070,70.1
1420000,0.071,64.3
1440000,0.072,68.7
1460000,0.073,65.8
1480000,0.074,68.7
1500000,0.075,57.1
1520000,0.076,60.0
1540000,0.077,57.1
1560000,0.078,64.1
1580000,0.079,55.7
1600000,0.080,51.4
1620000,0.081,61.5
1640000,0.082,58.6
1660000,0.083,60.0
1680000,0.084,48.5
1700000,0.085,57.1
1720000,0.086,67.2
1740000,0.087,67.2
1760000,0.088,73.0
1780000,0.089,67.2
1800000,0.090,64.3
1820000,0.091,75.8
1840000,0.092,67.2
1860000,0.093,67.2
1880000,0.094,70.1
1900000,0.095,67.2
1920000,0.096,53.3
1940000,0.097,22.6
1960000,0.098,51.4
1980000,0.099,58.6
2000000,0.100,51.4
2020000,0.101,52.8
2040000,0.102,57.1
2060000,0.103,54.3
2080000,0.104,49.9
2100000,0.105,53.3
2120000,0.106,51.4
2140000,0.107,48.5
2160000,0.108,47.1
2180000,0.109,57.1
2200000,0.110,52.8
2220000,0.111,49.9
2240000,0.112,54.3
2260000,0.113,45.6
2280000,0.114,51.7
2300000,0.115,55.7
2320000,0.116,44.2
2340000,0.117,57.1
