FPGA idle power [mW]:,3568.1

Program energy [mJ]:,9.70

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-8.8
20000,0.001,35.8
40000,0.002,32.9
60000,0.003,14.2
80000,0.004,19.9
100000,0.005,20.2
120000,0.006,32.9
140000,0.007,21.4
160000,0.008,31.5
180000,0.009,15.6
200000,0.010,12.8
220000,0.011,12.8
240000,0.012,17.1
260000,0.013,18.5
280000,0.014,14.0
300000,0.015,11.3
320000,0.016,11.3
340000,0.017,8.4
360000,0.018,8.4
380000,0.019,14.2
400000,0.020,11.3
420000,0.021,15.6
440000,0.022,17.1
460000,0.023,17.1
480000,0.024,14.2
500000,0.025,11.3
520000,0.026,9.9
540000,0.027,9.9
560000,0.028,12.8
580000,0.029,14.2
600000,0.030,11.3
620000,0.031,12.8
640000,0.032,15.5
660000,0.033,12.8
680000,0.034,5.6
700000,0.035,9.9
720000,0.036,14.2
740000,0.037,11.3
760000,0.038,4.1
780000,0.039,9.9
800000,0.040,14.2
820000,0.041,10.9
840000,0.042,8.4
860000,0.043,12.8
880000,0.044,81.8
900000,0.045,86.1
920000,0.046,94.8
940000,0.047,94.8
960000,0.048,102.0
980000,0.049,97.6
1000000,0.050,85.2
1020000,0.051,94.8
1040000,0.052,90.4
1060000,0.053,107.7
1080000,0.054,93.3
1100000,0.055,97.6
1120000,0.056,106.3
1140000,0.057,103.4
1160000,0.058,94.8
1180000,0.059,89.9
1200000,0.060,102.0
1220000,0.061,103.4
1240000,0.062,104.8
1260000,0.063,87.6
1280000,0.064,96.2
1300000,0.065,104.8
1320000,0.066,103.4
1340000,0.067,84.7
1360000,0.068,93.0
1380000,0.069,97.6
1400000,0.070,102.0
1420000,0.071,107.7
1440000,0.072,99.1
1460000,0.073,102.0
1480000,0.074,99.1
1500000,0.075,87.6
1520000,0.076,99.1
1540000,0.077,96.1
1560000,0.078,97.6
1580000,0.079,97.6
1600000,0.080,100.5
1620000,0.081,93.3
1640000,0.082,91.9
1660000,0.083,87.6
1680000,0.084,99.1
1700000,0.085,107.7
1720000,0.086,97.6
1740000,0.087,100.5
1760000,0.088,96.2
1780000,0.089,96.2
1800000,0.090,103.4
1820000,0.091,86.1
1840000,0.092,94.8
1860000,0.093,97.6
1880000,0.094,109.1
1900000,0.095,85.2
1920000,0.096,93.3
1940000,0.097,102.0
1960000,0.098,96.2
1980000,0.099,102.0
2000000,0.100,86.1
2020000,0.101,106.3
2040000,0.102,107.7
2060000,0.103,99.1
2080000,0.104,89.9
2100000,0.105,97.6
2120000,0.106,106.3
2140000,0.107,97.6
2160000,0.108,81.8
2180000,0.109,96.2
2200000,0.110,112.0
2220000,0.111,99.1
2240000,0.112,90.4
2260000,0.113,96.1
2280000,0.114,97.6
2300000,0.115,106.3
2320000,0.116,87.6
2340000,0.117,94.8
2360000,0.118,110.6
2380000,0.119,103.4
2400000,0.120,77.5
2420000,0.121,14.2
2440000,0.122,21.7
2460000,0.123,70.3
2480000,0.124,73.2
2500000,0.125,70.3
2520000,0.126,74.6
2540000,0.127,71.7
2560000,0.128,83.2
2580000,0.129,76.1
2600000,0.130,81.8
2620000,0.131,75.9
2640000,0.132,70.3
2660000,0.133,73.2
2680000,0.134,81.8
2700000,0.135,77.5
2720000,0.136,80.4
2740000,0.137,73.2
2760000,0.138,83.2
2780000,0.139,66.0
2800000,0.140,72.8
2820000,0.141,71.7
2840000,0.142,84.7
2860000,0.143,50.2
