FPGA idle power [mW]:,3508.6

Program energy [mJ]:,8.24

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-9.7
20000,0.001,60.7
40000,0.002,52.1
60000,0.003,27.7
80000,0.004,60.7
100000,0.005,59.3
120000,0.006,54.9
140000,0.007,34.8
160000,0.008,59.3
180000,0.009,57.9
200000,0.010,57.9
220000,0.011,53.6
240000,0.012,69.4
260000,0.013,73.7
280000,0.014,60.7
300000,0.015,36.3
320000,0.016,75.1
340000,0.017,76.6
360000,0.018,78.0
380000,0.019,75.1
400000,0.020,78.0
420000,0.021,89.5
440000,0.022,82.3
460000,0.023,92.4
480000,0.024,96.7
500000,0.025,89.5
520000,0.026,83.8
540000,0.027,86.6
560000,0.028,89.5
580000,0.029,82.3
600000,0.030,78.0
620000,0.031,78.0
640000,0.032,73.7
660000,0.033,79.7
680000,0.034,78.0
700000,0.035,79.4
720000,0.036,83.8
740000,0.037,78.0
760000,0.038,82.3
780000,0.039,73.7
800000,0.040,85.2
820000,0.041,95.3
840000,0.042,92.1
860000,0.043,86.6
880000,0.044,93.8
900000,0.045,85.2
920000,0.046,83.8
940000,0.047,85.2
960000,0.048,92.4
980000,0.049,89.5
1000000,0.050,78.0
1020000,0.051,71.9
1040000,0.052,72.3
1060000,0.053,76.6
1080000,0.054,82.3
1100000,0.055,73.7
1120000,0.056,72.3
1140000,0.057,82.3
1160000,0.058,86.6
1180000,0.059,76.6
1200000,0.060,92.1
1220000,0.061,93.8
1240000,0.062,93.8
1260000,0.063,80.9
1280000,0.064,91.0
1300000,0.065,93.8
1320000,0.066,83.8
1340000,0.067,91.0
1360000,0.068,86.6
1380000,0.069,76.6
1400000,0.070,75.1
1420000,0.071,70.8
1440000,0.072,78.0
1460000,0.073,73.7
1480000,0.074,82.3
1500000,0.075,82.3
1520000,0.076,79.4
1540000,0.077,79.4
1560000,0.078,76.6
1580000,0.079,79.4
1600000,0.080,98.2
1620000,0.081,92.4
1640000,0.082,91.0
1660000,0.083,80.9
1680000,0.084,86.6
1700000,0.085,86.6
1720000,0.086,33.4
1740000,0.087,59.5
1760000,0.088,69.4
1780000,0.089,72.3
1800000,0.090,70.8
1820000,0.091,73.7
1840000,0.092,67.9
1860000,0.093,69.4
1880000,0.094,73.7
1900000,0.095,69.4
1920000,0.096,70.4
1940000,0.097,76.6
1960000,0.098,73.7
1980000,0.099,75.1
2000000,0.100,65.1
2020000,0.101,76.6
2040000,0.102,75.1
2060000,0.103,66.5
2080000,0.104,66.5
2100000,0.105,79.7
2120000,0.106,75.1
2140000,0.107,75.1
2160000,0.108,69.4
