FPGA idle power [mW]:,3530.1

Program energy [mJ]:,7.92

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,19.1
20000,0.001,59.4
40000,0.002,39.2
60000,0.003,37.8
80000,0.004,56.5
100000,0.005,50.8
120000,0.006,34.9
140000,0.007,41.1
160000,0.008,59.4
180000,0.009,56.5
200000,0.010,52.2
220000,0.011,52.2
240000,0.012,65.1
260000,0.013,76.7
280000,0.014,42.1
300000,0.015,50.8
320000,0.016,67.5
340000,0.017,75.2
360000,0.018,78.1
380000,0.019,73.8
400000,0.020,72.3
420000,0.021,89.6
440000,0.022,85.3
460000,0.023,85.3
480000,0.024,73.8
500000,0.025,93.8
520000,0.026,89.6
540000,0.027,83.8
560000,0.028,73.8
580000,0.029,88.2
600000,0.030,79.5
620000,0.031,66.6
640000,0.032,75.2
660000,0.033,76.7
680000,0.034,78.3
700000,0.035,72.3
720000,0.036,69.5
740000,0.037,72.3
760000,0.038,70.9
780000,0.039,73.8
800000,0.040,81.0
820000,0.041,91.0
840000,0.042,89.6
860000,0.043,93.8
880000,0.044,88.2
900000,0.045,86.7
920000,0.046,86.7
940000,0.047,92.5
960000,0.048,82.4
980000,0.049,82.4
1000000,0.050,72.3
1020000,0.051,75.2
1040000,0.052,65.9
1060000,0.053,78.1
1080000,0.054,75.2
1100000,0.055,76.7
1120000,0.056,72.3
1140000,0.057,72.3
1160000,0.058,79.5
1180000,0.059,81.0
1200000,0.060,92.5
1220000,0.061,95.4
1240000,0.062,83.8
1260000,0.063,85.3
1280000,0.064,78.1
1300000,0.065,89.6
1320000,0.066,96.8
1340000,0.067,83.8
1360000,0.068,78.1
1380000,0.069,81.0
1400000,0.070,76.8
1420000,0.071,73.8
1440000,0.072,69.5
1460000,0.073,79.5
1480000,0.074,76.7
1500000,0.075,69.5
1520000,0.076,76.7
1540000,0.077,79.5
1560000,0.078,79.5
1580000,0.079,95.4
1600000,0.080,76.7
1620000,0.081,92.5
1640000,0.082,98.2
1660000,0.083,82.4
1680000,0.084,83.8
1700000,0.085,57.9
1720000,0.086,45.0
1740000,0.087,70.9
1760000,0.088,65.9
1780000,0.089,68.0
1800000,0.090,69.5
1820000,0.091,70.9
1840000,0.092,66.6
1860000,0.093,68.0
1880000,0.094,69.5
1900000,0.095,68.0
1920000,0.096,69.5
1940000,0.097,69.0
1960000,0.098,70.9
1980000,0.099,73.8
2000000,0.100,70.9
2020000,0.101,70.9
2040000,0.102,72.3
2060000,0.103,70.9
2080000,0.104,66.6
2100000,0.105,69.5
2120000,0.106,62.8
2140000,0.107,75.2
