FPGA idle power [mW]:,3553.8

Program energy [mJ]:,8.61

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,25.2
20000,0.001,48.6
40000,0.002,53.0
60000,0.003,57.3
80000,0.004,44.3
100000,0.005,42.9
120000,0.006,53.0
140000,0.007,21.3
160000,0.008,48.6
180000,0.009,57.7
200000,0.010,57.3
220000,0.011,57.3
240000,0.012,93.2
260000,0.013,73.1
280000,0.014,65.9
300000,0.015,35.7
320000,0.016,74.5
340000,0.017,80.3
360000,0.018,76.3
380000,0.019,87.5
400000,0.020,93.2
420000,0.021,76.0
440000,0.022,77.4
460000,0.023,88.9
480000,0.024,88.9
500000,0.025,88.9
520000,0.026,87.5
540000,0.027,82.5
560000,0.028,88.9
580000,0.029,88.9
600000,0.030,73.1
620000,0.031,73.1
640000,0.032,73.1
660000,0.033,65.9
680000,0.034,73.1
700000,0.035,67.3
720000,0.036,71.7
740000,0.037,74.5
760000,0.038,63.0
780000,0.039,71.7
800000,0.040,73.1
820000,0.041,70.2
840000,0.042,77.4
860000,0.043,83.2
880000,0.044,88.9
900000,0.045,88.7
920000,0.046,81.7
940000,0.047,93.2
960000,0.048,91.8
980000,0.049,86.0
1000000,0.050,90.4
1020000,0.051,97.5
1040000,0.052,91.8
1060000,0.053,78.8
1080000,0.054,80.9
1100000,0.055,97.5
1120000,0.056,86.0
1140000,0.057,90.4
1160000,0.058,93.2
1180000,0.059,87.5
1200000,0.060,100.4
1220000,0.061,86.0
1240000,0.062,78.8
1260000,0.063,87.1
1280000,0.064,90.4
1300000,0.065,97.5
1320000,0.066,84.6
1340000,0.067,78.8
1360000,0.068,84.6
1380000,0.069,101.9
1400000,0.070,80.3
1420000,0.071,91.8
1440000,0.072,93.3
1460000,0.073,94.7
1480000,0.074,70.2
1500000,0.075,74.5
1520000,0.076,68.8
1540000,0.077,74.5
1560000,0.078,68.8
1580000,0.079,65.9
1600000,0.080,58.7
1620000,0.081,71.7
1640000,0.082,73.1
1660000,0.083,63.0
1680000,0.084,65.9
1700000,0.085,70.2
1720000,0.086,87.5
1740000,0.087,80.3
1760000,0.088,84.6
1780000,0.089,83.2
1800000,0.090,77.9
1820000,0.091,84.6
1840000,0.092,84.6
1860000,0.093,81.7
1880000,0.094,87.5
1900000,0.095,34.2
1920000,0.096,55.8
1940000,0.097,60.1
1960000,0.098,57.3
1980000,0.099,70.1
2000000,0.100,65.9
2020000,0.101,58.7
2040000,0.102,65.9
2060000,0.103,55.8
2080000,0.104,73.1
2100000,0.105,65.9
2120000,0.106,57.3
2140000,0.107,53.0
2160000,0.108,67.0
2180000,0.109,65.9
2200000,0.110,64.5
2220000,0.111,54.4
2240000,0.112,61.6
2260000,0.113,68.8
2280000,0.114,55.8
2300000,0.115,58.7
2320000,0.116,58.7
