FPGA idle power [mW]:,3546.3

Program energy [mJ]:,8.67

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-12.3
20000,0.001,56.1
40000,0.002,59.0
60000,0.003,44.6
80000,0.004,50.4
100000,0.005,48.9
120000,0.006,47.5
140000,0.007,40.3
160000,0.008,60.5
180000,0.009,63.7
200000,0.010,66.2
220000,0.011,64.8
240000,0.012,92.1
260000,0.013,76.3
280000,0.014,31.7
300000,0.015,59.0
320000,0.016,66.2
340000,0.017,64.8
360000,0.018,76.1
380000,0.019,60.5
400000,0.020,67.6
420000,0.021,63.3
440000,0.022,79.2
460000,0.023,77.7
480000,0.024,84.9
500000,0.025,79.2
520000,0.026,82.0
540000,0.027,76.1
560000,0.028,84.9
580000,0.029,87.8
600000,0.030,76.3
620000,0.031,82.0
640000,0.032,84.9
660000,0.033,89.2
680000,0.034,80.6
700000,0.035,79.2
720000,0.036,77.6
740000,0.037,87.8
760000,0.038,72.0
780000,0.039,76.3
800000,0.040,76.3
820000,0.041,77.7
840000,0.042,87.8
860000,0.043,82.0
880000,0.044,80.6
900000,0.045,85.4
920000,0.046,73.4
940000,0.047,76.3
960000,0.048,74.8
980000,0.049,89.2
1000000,0.050,76.3
1020000,0.051,77.7
1040000,0.052,82.0
1060000,0.053,72.0
1080000,0.054,69.9
1100000,0.055,66.2
1120000,0.056,77.7
1140000,0.057,70.5
1160000,0.058,70.5
1180000,0.059,56.1
1200000,0.060,70.5
1220000,0.061,73.4
1240000,0.062,72.0
1260000,0.063,68.3
1280000,0.064,66.2
1300000,0.065,79.2
1320000,0.066,80.6
1340000,0.067,86.3
1360000,0.068,82.0
1380000,0.069,77.7
1400000,0.070,89.2
1420000,0.071,82.0
1440000,0.072,79.2
1460000,0.073,87.8
1480000,0.074,93.5
1500000,0.075,90.7
1520000,0.076,80.6
1540000,0.077,80.6
1560000,0.078,79.2
1580000,0.079,86.3
1600000,0.080,80.6
1620000,0.081,69.9
1640000,0.082,79.2
1660000,0.083,89.2
1680000,0.084,84.9
1700000,0.085,86.3
1720000,0.086,79.2
1740000,0.087,87.8
1760000,0.088,95.0
1780000,0.089,80.6
1800000,0.090,90.0
1820000,0.091,80.6
1840000,0.092,82.0
1860000,0.093,74.8
1880000,0.094,54.7
1900000,0.095,50.4
1920000,0.096,74.8
1940000,0.097,70.5
1960000,0.098,77.7
1980000,0.099,68.3
2000000,0.100,72.0
2020000,0.101,70.5
2040000,0.102,74.8
2060000,0.103,77.7
2080000,0.104,73.4
2100000,0.105,69.1
2120000,0.106,66.2
2140000,0.107,87.8
2160000,0.108,86.9
2180000,0.109,73.4
2200000,0.110,74.8
2220000,0.111,80.6
2240000,0.112,69.1
2260000,0.113,74.8
2280000,0.114,67.6
2300000,0.115,80.6
2320000,0.116,79.2
