FPGA idle power [mW]:,3561.2

Program energy [mJ]:,10.34

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,34.0
20000,0.001,48.4
40000,0.002,26.8
60000,0.003,28.3
80000,0.004,48.4
100000,0.005,53.4
120000,0.006,41.2
140000,0.007,28.3
160000,0.008,31.2
180000,0.009,35.5
200000,0.010,31.2
220000,0.011,34.0
240000,0.012,25.4
260000,0.013,29.7
280000,0.014,25.5
300000,0.015,19.7
320000,0.016,29.7
340000,0.017,24.0
360000,0.018,21.1
380000,0.019,26.8
400000,0.020,22.5
420000,0.021,22.5
440000,0.022,16.8
460000,0.023,24.0
480000,0.024,68.6
500000,0.025,90.1
520000,0.026,100.2
540000,0.027,106.0
560000,0.028,110.3
580000,0.029,98.8
600000,0.030,106.0
620000,0.031,97.3
640000,0.032,95.2
660000,0.033,106.0
680000,0.034,98.8
700000,0.035,98.8
720000,0.036,101.7
740000,0.037,100.2
760000,0.038,98.8
780000,0.039,94.5
800000,0.040,95.9
820000,0.041,101.4
840000,0.042,106.0
860000,0.043,93.0
880000,0.044,97.3
900000,0.045,101.7
920000,0.046,91.6
940000,0.047,100.2
960000,0.048,98.8
980000,0.049,110.3
1000000,0.050,104.5
1020000,0.051,100.2
1040000,0.052,90.1
1060000,0.053,100.2
1080000,0.054,104.5
1100000,0.055,111.7
1120000,0.056,100.2
1140000,0.057,97.3
1160000,0.058,95.9
1180000,0.059,107.6
1200000,0.060,101.7
1220000,0.061,106.0
1240000,0.062,100.2
1260000,0.063,103.1
1280000,0.064,93.0
1300000,0.065,100.2
1320000,0.066,95.9
1340000,0.067,113.2
1360000,0.068,103.0
1380000,0.069,94.5
1400000,0.070,93.0
1420000,0.071,98.8
1440000,0.072,103.1
1460000,0.073,98.8
1480000,0.074,111.7
1500000,0.075,100.2
1520000,0.076,101.7
1540000,0.077,87.5
1560000,0.078,94.5
1580000,0.079,106.0
1600000,0.080,110.3
1620000,0.081,93.0
1640000,0.082,108.9
1660000,0.083,114.6
1680000,0.084,108.9
1700000,0.085,98.8
1720000,0.086,104.5
1740000,0.087,98.8
1760000,0.088,106.0
1780000,0.089,93.0
1800000,0.090,106.0
1820000,0.091,107.4
1840000,0.092,108.9
1860000,0.093,100.2
1880000,0.094,113.2
1900000,0.095,107.6
1920000,0.096,108.9
1940000,0.097,93.0
1960000,0.098,123.2
1980000,0.099,111.7
2000000,0.100,106.0
2020000,0.101,83.0
2040000,0.102,26.8
2060000,0.103,44.1
2080000,0.104,78.2
2100000,0.105,70.0
2120000,0.106,77.2
2140000,0.107,88.7
2160000,0.108,65.7
2180000,0.109,71.4
2200000,0.110,71.4
2220000,0.111,80.1
2240000,0.112,74.3
2260000,0.113,76.6
2280000,0.114,75.8
2300000,0.115,75.8
2320000,0.116,77.2
2340000,0.117,70.0
2360000,0.118,81.5
2380000,0.119,77.2
2400000,0.120,80.1
2420000,0.121,62.8
2440000,0.122,85.9
2460000,0.123,74.3
2480000,0.124,77.2
2500000,0.125,52.7
