FPGA idle power [mW]:,3577.3

Program energy [mJ]:,12.38

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,31.1
20000,0.001,85.6
40000,0.002,55.3
60000,0.003,22.3
80000,0.004,62.5
100000,0.005,84.1
120000,0.006,76.9
140000,0.007,23.7
160000,0.008,52.5
180000,0.009,40.4
200000,0.010,46.7
220000,0.011,49.6
240000,0.012,35.2
260000,0.013,39.5
280000,0.014,25.1
300000,0.015,32.3
320000,0.016,35.2
340000,0.017,32.3
360000,0.018,26.5
380000,0.019,39.5
400000,0.020,28.0
420000,0.021,28.0
440000,0.022,29.5
460000,0.023,25.1
480000,0.024,84.1
500000,0.025,111.5
520000,0.026,107.1
540000,0.027,114.8
560000,0.028,110.0
580000,0.029,118.6
600000,0.030,112.9
620000,0.031,115.8
640000,0.032,110.0
660000,0.033,118.6
680000,0.034,112.9
700000,0.035,114.3
720000,0.036,111.7
740000,0.037,118.6
760000,0.038,114.3
780000,0.039,115.8
800000,0.040,115.8
820000,0.041,118.6
840000,0.042,117.2
860000,0.043,115.8
880000,0.044,118.6
900000,0.045,111.7
920000,0.046,117.2
940000,0.047,124.4
960000,0.048,114.3
980000,0.049,114.3
1000000,0.050,120.1
1020000,0.051,120.1
1040000,0.052,115.8
1060000,0.053,114.3
1080000,0.054,122.5
1100000,0.055,118.6
1120000,0.056,115.8
1140000,0.057,112.9
1160000,0.058,121.5
1180000,0.059,121.5
1200000,0.060,104.3
1220000,0.061,110.0
1240000,0.062,117.2
1260000,0.063,119.4
1280000,0.064,123.0
1300000,0.065,114.3
1320000,0.066,120.1
1340000,0.067,117.2
1360000,0.068,118.6
1380000,0.069,108.6
1400000,0.070,114.3
1420000,0.071,120.1
1440000,0.072,113.2
1460000,0.073,114.3
1480000,0.074,115.8
1500000,0.075,117.2
1520000,0.076,121.5
1540000,0.077,112.9
1560000,0.078,114.3
1580000,0.079,125.8
1600000,0.080,117.2
1620000,0.081,116.3
1640000,0.082,124.4
1660000,0.083,117.2
1680000,0.084,115.8
1700000,0.085,115.8
1720000,0.086,118.6
1740000,0.087,115.8
1760000,0.088,117.2
1780000,0.089,118.6
1800000,0.090,117.9
1820000,0.091,117.2
1840000,0.092,123.0
1860000,0.093,112.9
1880000,0.094,105.7
1900000,0.095,117.2
1920000,0.096,115.8
1940000,0.097,115.8
1960000,0.098,123.0
1980000,0.099,121.0
2000000,0.100,112.9
2020000,0.101,108.6
2040000,0.102,58.2
2060000,0.103,33.8
2080000,0.104,97.1
2100000,0.105,107.1
2120000,0.106,105.7
2140000,0.107,98.5
2160000,0.108,96.2
2180000,0.109,95.6
2200000,0.110,107.1
2220000,0.111,108.6
2240000,0.112,104.3
2260000,0.113,107.1
2280000,0.114,104.3
2300000,0.115,108.6
2320000,0.116,107.1
2340000,0.117,88.4
2360000,0.118,101.4
2380000,0.119,108.6
2400000,0.120,107.1
2420000,0.121,94.2
2440000,0.122,107.1
2460000,0.123,105.7
2480000,0.124,108.6
2500000,0.125,74.0
