FPGA idle power [mW]:,3567.3

Program energy [mJ]:,8.19

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,22.2
20000,0.001,42.7
40000,0.002,43.8
60000,0.003,36.6
80000,0.004,40.9
100000,0.005,45.2
120000,0.006,33.7
140000,0.007,13.6
160000,0.008,23.6
180000,0.009,25.1
200000,0.010,13.2
220000,0.011,25.1
240000,0.012,17.9
260000,0.013,22.2
280000,0.014,20.7
300000,0.015,15.0
320000,0.016,16.4
340000,0.017,19.3
360000,0.018,22.2
380000,0.019,24.1
400000,0.020,13.6
420000,0.021,17.9
440000,0.022,19.3
460000,0.023,13.6
480000,0.024,20.7
500000,0.025,23.6
520000,0.026,20.7
540000,0.027,56.7
560000,0.028,67.4
580000,0.029,58.2
600000,0.030,65.3
620000,0.031,66.8
640000,0.032,71.1
660000,0.033,63.9
680000,0.034,69.7
700000,0.035,68.2
720000,0.036,76.9
740000,0.037,75.2
760000,0.038,76.9
780000,0.039,69.7
800000,0.040,63.9
820000,0.041,72.5
840000,0.042,63.9
860000,0.043,69.7
880000,0.044,81.2
900000,0.045,76.9
920000,0.046,78.3
940000,0.047,66.8
960000,0.048,88.4
980000,0.049,82.6
1000000,0.050,69.7
1020000,0.051,63.9
1040000,0.052,68.2
1060000,0.053,69.7
1080000,0.054,78.3
1100000,0.055,69.0
1120000,0.056,79.7
1140000,0.057,81.2
1160000,0.058,86.9
1180000,0.059,68.2
1200000,0.060,71.1
1220000,0.061,74.0
1240000,0.062,76.9
1260000,0.063,71.1
1280000,0.064,70.5
1300000,0.065,69.7
1320000,0.066,81.2
1340000,0.067,72.5
1360000,0.068,68.2
1380000,0.069,69.7
1400000,0.070,76.9
1420000,0.071,56.7
1440000,0.072,75.4
1460000,0.073,72.1
1480000,0.074,72.5
1500000,0.075,66.8
1520000,0.076,66.8
1540000,0.077,69.7
1560000,0.078,69.7
1580000,0.079,69.7
1600000,0.080,71.1
1620000,0.081,68.2
1640000,0.082,70.5
1660000,0.083,56.7
1680000,0.084,69.7
1700000,0.085,72.5
1720000,0.086,62.5
1740000,0.087,61.0
1760000,0.088,66.8
1780000,0.089,74.0
1800000,0.090,63.9
1820000,0.091,61.3
1840000,0.092,66.8
1860000,0.093,78.3
1880000,0.094,65.3
1900000,0.095,58.2
1920000,0.096,65.3
1940000,0.097,74.0
1960000,0.098,71.1
1980000,0.099,69.7
2000000,0.100,55.1
2020000,0.101,62.5
2040000,0.102,81.2
2060000,0.103,63.9
2080000,0.104,74.0
2100000,0.105,61.0
2120000,0.106,69.7
2140000,0.107,71.1
2160000,0.108,62.5
2180000,0.109,61.3
2200000,0.110,61.0
2220000,0.111,71.1
2240000,0.112,72.5
2260000,0.113,68.2
2280000,0.114,66.8
2300000,0.115,17.9
2320000,0.116,38.0
2340000,0.117,66.8
2360000,0.118,56.6
2380000,0.119,59.6
2400000,0.120,69.7
2420000,0.121,61.0
2440000,0.122,56.7
2460000,0.123,68.2
2480000,0.124,62.5
2500000,0.125,69.7
2520000,0.126,62.5
2540000,0.127,62.8
2560000,0.128,66.8
2580000,0.129,65.3
2600000,0.130,63.9
2620000,0.131,62.5
2640000,0.132,62.5
2660000,0.133,59.6
2680000,0.134,62.5
2700000,0.135,61.0
2720000,0.136,67.4
2740000,0.137,59.6
2760000,0.138,19.3
