FPGA idle power [mW]:,3520.7

Program energy [mJ]:,7.60

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,17.0
20000,0.001,66.0
40000,0.002,74.5
60000,0.003,73.1
80000,0.004,64.5
100000,0.005,65.9
120000,0.006,63.0
140000,0.007,44.3
160000,0.008,48.6
180000,0.009,57.3
200000,0.010,62.9
220000,0.011,57.3
240000,0.012,64.5
260000,0.013,71.7
280000,0.014,71.7
300000,0.015,32.8
320000,0.016,47.2
340000,0.017,58.7
360000,0.018,61.6
380000,0.019,58.3
400000,0.020,64.5
420000,0.021,70.2
440000,0.022,70.2
460000,0.023,70.2
480000,0.024,73.1
500000,0.025,68.8
520000,0.026,73.1
540000,0.027,68.8
560000,0.028,72.2
580000,0.029,71.7
600000,0.030,68.8
620000,0.031,68.8
640000,0.032,60.2
660000,0.033,61.6
680000,0.034,58.7
700000,0.035,61.6
720000,0.036,63.0
740000,0.037,58.3
760000,0.038,63.0
780000,0.039,63.0
800000,0.040,61.6
820000,0.041,60.2
840000,0.042,61.6
860000,0.043,68.8
880000,0.044,70.2
900000,0.045,73.1
920000,0.046,62.9
940000,0.047,74.5
960000,0.048,71.7
980000,0.049,77.4
1000000,0.050,63.0
1020000,0.051,77.4
1040000,0.052,67.3
1060000,0.053,65.9
1080000,0.054,61.6
1100000,0.055,67.6
1120000,0.056,63.0
1140000,0.057,65.9
1160000,0.058,63.0
1180000,0.059,63.0
1200000,0.060,65.9
1220000,0.061,64.5
1240000,0.062,57.3
1260000,0.063,57.3
1280000,0.064,61.4
1300000,0.065,67.3
1320000,0.066,74.5
1340000,0.067,61.6
1360000,0.068,68.8
1380000,0.069,67.3
1400000,0.070,71.7
1420000,0.071,64.5
1440000,0.072,73.1
1460000,0.073,76.9
1480000,0.074,71.7
1500000,0.075,73.1
1520000,0.076,63.0
1540000,0.077,64.5
1560000,0.078,61.6
1580000,0.079,55.8
1600000,0.080,64.5
1620000,0.081,70.2
1640000,0.082,67.6
1660000,0.083,64.5
1680000,0.084,64.5
1700000,0.085,63.0
1720000,0.086,65.9
1740000,0.087,55.8
1760000,0.088,61.6
1780000,0.089,68.8
1800000,0.090,70.2
1820000,0.091,69.1
1840000,0.092,68.8
1860000,0.093,64.5
1880000,0.094,70.2
1900000,0.095,70.2
1920000,0.096,71.7
1940000,0.097,55.8
1960000,0.098,35.7
1980000,0.099,67.3
2000000,0.100,66.0
2020000,0.101,64.5
2040000,0.102,65.9
2060000,0.103,58.7
2080000,0.104,54.4
2100000,0.105,64.5
2120000,0.106,55.8
2140000,0.107,64.5
2160000,0.108,61.6
2180000,0.109,56.7
2200000,0.110,60.2
2220000,0.111,63.0
2240000,0.112,63.0
2260000,0.113,60.2
2280000,0.114,60.2
2300000,0.115,61.6
2320000,0.116,57.3
2340000,0.117,64.5
2360000,0.118,61.4
