FPGA idle power [mW]:,3581.2

Program energy [mJ]:,14.73

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,64.4
20000,0.001,121.9
40000,0.002,121.9
60000,0.003,124.8
80000,0.004,120.5
100000,0.005,121.9
120000,0.006,114.7
140000,0.007,35.6
160000,0.008,127.7
180000,0.009,140.3
200000,0.010,126.3
220000,0.011,123.4
240000,0.012,146.4
260000,0.013,149.3
280000,0.014,107.6
300000,0.015,77.3
320000,0.016,130.6
340000,0.017,142.1
360000,0.018,134.1
380000,0.019,145.0
400000,0.020,145.0
420000,0.021,143.5
440000,0.022,133.5
460000,0.023,137.8
480000,0.024,143.5
500000,0.025,142.1
520000,0.026,139.2
540000,0.027,145.0
560000,0.028,134.9
580000,0.029,136.3
600000,0.030,136.3
620000,0.031,140.6
640000,0.032,140.6
660000,0.033,137.8
680000,0.034,145.0
700000,0.035,129.1
720000,0.036,140.3
740000,0.037,146.4
760000,0.038,139.2
780000,0.039,142.1
800000,0.040,139.2
820000,0.041,147.8
840000,0.042,130.6
860000,0.043,140.6
880000,0.044,142.1
900000,0.045,138.8
920000,0.046,133.5
940000,0.047,147.8
960000,0.048,145.0
980000,0.049,136.3
1000000,0.050,140.6
1020000,0.051,140.6
1040000,0.052,139.2
1060000,0.053,137.8
1080000,0.054,137.2
1100000,0.055,146.4
1120000,0.056,137.8
1140000,0.057,142.1
1160000,0.058,140.6
1180000,0.059,137.8
1200000,0.060,143.5
1220000,0.061,145.0
1240000,0.062,136.3
1260000,0.063,151.2
1280000,0.064,145.0
1300000,0.065,142.1
1320000,0.066,140.6
1340000,0.067,142.1
1360000,0.068,146.4
1380000,0.069,142.1
1400000,0.070,137.8
1420000,0.071,142.1
1440000,0.072,141.9
1460000,0.073,129.1
1480000,0.074,129.1
1500000,0.075,133.5
1520000,0.076,127.7
1540000,0.077,116.2
1560000,0.078,129.1
1580000,0.079,130.6
1600000,0.080,126.3
1620000,0.081,127.9
1640000,0.082,127.7
1660000,0.083,116.2
1680000,0.084,134.9
1700000,0.085,142.1
1720000,0.086,143.5
1740000,0.087,136.3
1760000,0.088,139.2
1780000,0.089,140.6
1800000,0.090,129.5
1820000,0.091,139.2
1840000,0.092,140.6
1860000,0.093,114.7
1880000,0.094,57.2
1900000,0.095,104.7
1920000,0.096,107.6
1940000,0.097,109.0
1960000,0.098,104.7
1980000,0.099,106.2
2000000,0.100,93.2
2020000,0.101,91.7
2040000,0.102,110.4
2060000,0.103,109.0
2080000,0.104,100.4
2100000,0.105,106.1
2120000,0.106,104.7
2140000,0.107,104.7
2160000,0.108,104.7
2180000,0.109,100.4
2200000,0.110,106.1
2220000,0.111,111.9
2240000,0.112,100.4
2260000,0.113,103.2
2280000,0.114,98.9
