FPGA idle power [mW]:,3556.0

Program energy [mJ]:,6.28

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,20.5
20000,0.001,34.9
40000,0.002,7.5
60000,0.003,19.1
80000,0.004,26.3
100000,0.005,42.1
120000,0.006,32.0
140000,0.007,24.9
160000,0.008,33.5
180000,0.009,20.5
200000,0.010,23.4
220000,0.011,23.0
240000,0.012,16.2
260000,0.013,23.4
280000,0.014,24.9
300000,0.015,13.3
320000,0.016,20.5
340000,0.017,16.2
360000,0.018,7.6
380000,0.019,14.8
400000,0.020,21.4
420000,0.021,16.2
440000,0.022,7.6
460000,0.023,14.8
480000,0.024,17.7
500000,0.025,16.2
520000,0.026,20.5
540000,0.027,52.2
560000,0.028,50.8
580000,0.029,54.0
600000,0.030,55.1
620000,0.031,56.5
640000,0.032,57.9
660000,0.033,65.1
680000,0.034,63.7
700000,0.035,59.4
720000,0.036,70.9
740000,0.037,72.3
760000,0.038,63.3
780000,0.039,53.6
800000,0.040,53.6
820000,0.041,66.6
840000,0.042,55.1
860000,0.043,52.2
880000,0.044,55.1
900000,0.045,49.3
920000,0.046,57.9
940000,0.047,57.1
960000,0.048,53.6
980000,0.049,50.8
1000000,0.050,57.9
1020000,0.051,55.1
1040000,0.052,50.8
1060000,0.053,53.6
1080000,0.054,59.4
1100000,0.055,63.7
1120000,0.056,60.2
1140000,0.057,56.5
1160000,0.058,66.6
1180000,0.059,60.8
1200000,0.060,62.3
1220000,0.061,60.8
1240000,0.062,62.3
1260000,0.063,68.0
1280000,0.064,66.6
1300000,0.065,50.9
1320000,0.066,53.6
1340000,0.067,49.3
1360000,0.068,43.6
1380000,0.069,52.2
1400000,0.070,46.4
1420000,0.071,46.4
1440000,0.072,43.6
1460000,0.073,43.6
1480000,0.074,54.0
1500000,0.075,52.2
1520000,0.076,60.8
1540000,0.077,55.1
1560000,0.078,66.6
1580000,0.079,59.4
1600000,0.080,62.3
1620000,0.081,55.1
1640000,0.082,62.3
1660000,0.083,66.4
1680000,0.084,56.5
1700000,0.085,47.9
1720000,0.086,57.9
1740000,0.087,56.5
1760000,0.088,55.1
1780000,0.089,57.9
1800000,0.090,42.1
1820000,0.091,47.9
1840000,0.092,60.2
1860000,0.093,53.6
1880000,0.094,47.9
1900000,0.095,47.9
1920000,0.096,55.1
1940000,0.097,49.3
1960000,0.098,62.3
1980000,0.099,56.5
2000000,0.100,63.7
2020000,0.101,67.9
2040000,0.102,57.9
2060000,0.103,62.3
2080000,0.104,68.0
2100000,0.105,46.4
2120000,0.106,16.2
2140000,0.107,37.8
2160000,0.108,60.8
2180000,0.109,65.1
2200000,0.110,60.2
2220000,0.111,60.8
2240000,0.112,60.8
2260000,0.113,59.4
2280000,0.114,56.5
2300000,0.115,59.4
2320000,0.116,62.3
2340000,0.117,59.4
2360000,0.118,60.8
2380000,0.119,49.3
2400000,0.120,60.8
2420000,0.121,62.3
2440000,0.122,55.1
2460000,0.123,49.3
2480000,0.124,60.8
2500000,0.125,68.0
2520000,0.126,62.3
2540000,0.127,52.2
