FPGA idle power [mW]:,3548.9

Program energy [mJ]:,7.80

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-4.0
20000,0.001,40.6
40000,0.002,40.6
60000,0.003,17.7
80000,0.004,40.6
100000,0.005,49.2
120000,0.006,40.6
140000,0.007,27.6
160000,0.008,52.1
180000,0.009,50.7
200000,0.010,44.9
220000,0.011,44.9
240000,0.012,73.5
260000,0.013,73.7
280000,0.014,63.6
300000,0.015,29.1
320000,0.016,62.2
340000,0.017,57.9
360000,0.018,62.2
380000,0.019,65.0
400000,0.020,66.5
420000,0.021,62.6
440000,0.022,76.6
460000,0.023,80.9
480000,0.024,79.4
500000,0.025,72.2
520000,0.026,78.0
540000,0.027,70.8
560000,0.028,80.9
580000,0.029,66.5
600000,0.030,62.6
620000,0.031,78.0
640000,0.032,78.0
660000,0.033,63.6
680000,0.034,69.4
700000,0.035,59.3
720000,0.036,65.0
740000,0.037,73.7
760000,0.038,62.2
780000,0.039,65.7
800000,0.040,72.2
820000,0.041,72.2
840000,0.042,63.6
860000,0.043,63.6
880000,0.044,73.7
900000,0.045,83.7
920000,0.046,75.1
940000,0.047,79.4
960000,0.048,82.8
980000,0.049,83.7
1000000,0.050,66.5
1020000,0.051,72.2
1040000,0.052,78.0
1060000,0.053,72.2
1080000,0.054,67.9
1100000,0.055,69.4
1120000,0.056,60.7
1140000,0.057,64.2
1160000,0.058,67.9
1180000,0.059,75.1
1200000,0.060,69.4
1220000,0.061,62.2
1240000,0.062,62.2
1260000,0.063,63.6
1280000,0.064,63.6
1300000,0.065,70.8
1320000,0.066,56.4
1340000,0.067,75.1
1360000,0.068,73.7
1380000,0.069,73.7
1400000,0.070,70.8
1420000,0.071,76.6
1440000,0.072,73.7
1460000,0.073,78.0
1480000,0.074,72.2
1500000,0.075,70.4
1520000,0.076,83.7
1540000,0.077,70.8
1560000,0.078,65.0
1580000,0.079,69.4
1600000,0.080,60.7
1620000,0.081,65.0
1640000,0.082,69.4
1660000,0.083,65.0
1680000,0.084,62.6
1700000,0.085,59.3
1720000,0.086,59.3
1740000,0.087,62.2
1760000,0.088,63.6
1780000,0.089,63.6
1800000,0.090,85.2
1820000,0.091,75.1
1840000,0.092,75.1
1860000,0.093,78.1
1880000,0.094,82.3
1900000,0.095,73.7
1920000,0.096,72.2
1940000,0.097,62.2
1960000,0.098,26.2
1980000,0.099,69.4
2000000,0.100,66.5
2020000,0.101,63.6
2040000,0.102,67.3
2060000,0.103,65.0
2080000,0.104,70.8
2100000,0.105,67.9
2120000,0.106,66.5
2140000,0.107,59.3
2160000,0.108,62.2
2180000,0.109,63.6
2200000,0.110,63.6
2220000,0.111,59.5
2240000,0.112,65.0
2260000,0.113,60.7
2280000,0.114,70.8
2300000,0.115,56.4
2320000,0.116,62.2
2340000,0.117,66.5
2360000,0.118,63.6
2380000,0.119,56.4
