FPGA idle power [mW]:,3565.6

Program energy [mJ]:,10.15

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,32.5
20000,0.001,65.6
40000,0.002,31.1
60000,0.003,29.6
80000,0.004,61.3
100000,0.005,59.9
120000,0.006,39.7
140000,0.007,41.2
160000,0.008,65.6
180000,0.009,61.3
200000,0.010,52.7
220000,0.011,61.3
240000,0.012,95.8
260000,0.013,98.7
280000,0.014,41.3
300000,0.015,44.0
320000,0.016,59.9
340000,0.017,81.4
360000,0.018,75.7
380000,0.019,78.6
400000,0.020,72.8
420000,0.021,90.1
440000,0.022,113.1
460000,0.023,93.9
480000,0.024,95.8
500000,0.025,103.0
520000,0.026,91.5
540000,0.027,92.9
560000,0.028,88.6
580000,0.029,100.1
600000,0.030,103.0
620000,0.031,97.3
640000,0.032,84.6
660000,0.033,65.6
680000,0.034,78.6
700000,0.035,87.2
720000,0.036,75.7
740000,0.037,87.2
760000,0.038,95.8
780000,0.039,82.9
800000,0.040,78.6
820000,0.041,83.1
840000,0.042,77.1
860000,0.043,74.2
880000,0.044,91.5
900000,0.045,105.9
920000,0.046,108.8
940000,0.047,101.6
960000,0.048,100.1
980000,0.049,92.9
1000000,0.050,92.4
1020000,0.051,100.1
1040000,0.052,87.2
1060000,0.053,105.9
1080000,0.054,95.8
1100000,0.055,84.3
1120000,0.056,85.7
1140000,0.057,90.1
1160000,0.058,87.2
1180000,0.059,92.4
1200000,0.060,84.3
1220000,0.061,82.9
1240000,0.062,82.9
1260000,0.063,91.5
1280000,0.064,82.9
1300000,0.065,90.1
1320000,0.066,85.7
1340000,0.067,98.7
1360000,0.068,92.4
1380000,0.069,97.3
1400000,0.070,107.3
1420000,0.071,103.0
1440000,0.072,94.4
1460000,0.073,81.4
1480000,0.074,100.1
1500000,0.075,103.0
1520000,0.076,97.3
1540000,0.077,92.4
1560000,0.078,78.6
1580000,0.079,88.6
1600000,0.080,82.9
1620000,0.081,77.1
1640000,0.082,80.0
1660000,0.083,82.9
1680000,0.084,81.4
1700000,0.085,82.9
1720000,0.086,84.6
1740000,0.087,91.5
1760000,0.088,85.7
1780000,0.089,101.6
1800000,0.090,97.3
1820000,0.091,103.0
1840000,0.092,103.0
1860000,0.093,97.3
1880000,0.094,98.7
1900000,0.095,111.0
1920000,0.096,110.2
1940000,0.097,42.6
1960000,0.098,55.5
1980000,0.099,91.5
2000000,0.100,81.4
2020000,0.101,64.2
2040000,0.102,88.6
2060000,0.103,95.8
2080000,0.104,83.1
2100000,0.105,85.7
2120000,0.106,88.6
2140000,0.107,97.3
2160000,0.108,97.3
2180000,0.109,78.6
2200000,0.110,77.1
2220000,0.111,94.4
2240000,0.112,98.7
2260000,0.113,89.3
2280000,0.114,85.7
2300000,0.115,85.7
2320000,0.116,81.4
2340000,0.117,77.1
2360000,0.118,94.4
2380000,0.119,98.7
