FPGA idle power [mW]:,3570.9

Program energy [mJ]:,12.40

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-1.6
20000,0.001,79.0
40000,0.002,76.1
60000,0.003,45.3
80000,0.004,80.4
100000,0.005,77.6
120000,0.006,68.9
140000,0.007,34.4
160000,0.008,93.4
180000,0.009,92.0
200000,0.010,97.7
220000,0.011,86.2
240000,0.012,119.6
260000,0.013,112.1
280000,0.014,43.0
300000,0.015,79.0
320000,0.016,117.9
340000,0.017,116.4
360000,0.018,117.9
380000,0.019,119.3
400000,0.020,119.3
420000,0.021,124.3
440000,0.022,135.1
460000,0.023,136.6
480000,0.024,132.2
500000,0.025,130.8
520000,0.026,136.6
540000,0.027,133.7
560000,0.028,125.0
580000,0.029,133.7
600000,0.030,135.1
620000,0.031,133.7
640000,0.032,136.6
660000,0.033,132.2
680000,0.034,127.9
700000,0.035,129.4
720000,0.036,136.6
740000,0.037,127.9
760000,0.038,120.7
780000,0.039,138.2
800000,0.040,135.1
820000,0.041,125.0
840000,0.042,127.9
860000,0.043,138.0
880000,0.044,136.6
900000,0.045,123.6
920000,0.046,127.9
940000,0.047,138.0
960000,0.048,132.0
980000,0.049,119.3
1000000,0.050,116.4
1020000,0.051,116.4
1040000,0.052,117.9
1060000,0.053,117.9
1080000,0.054,117.9
1100000,0.055,116.4
1120000,0.056,127.9
1140000,0.057,121.2
1160000,0.058,116.4
1180000,0.059,123.6
1200000,0.060,140.9
1220000,0.061,133.7
1240000,0.062,120.7
1260000,0.063,140.9
1280000,0.064,140.9
1300000,0.065,130.8
1320000,0.066,133.6
1340000,0.067,138.0
1360000,0.068,132.2
1380000,0.069,130.8
1400000,0.070,132.2
1420000,0.071,138.0
1440000,0.072,136.6
1460000,0.073,136.6
1480000,0.074,135.1
1500000,0.075,135.1
1520000,0.076,132.2
1540000,0.077,129.4
1560000,0.078,127.9
1580000,0.079,125.0
1600000,0.080,127.9
1620000,0.081,133.7
1640000,0.082,127.9
1660000,0.083,135.1
1680000,0.084,130.5
1700000,0.085,50.2
1720000,0.086,81.9
1740000,0.087,100.6
1760000,0.088,113.5
1780000,0.089,104.9
1800000,0.090,102.0
1820000,0.091,107.8
1840000,0.092,106.3
1860000,0.093,97.9
1880000,0.094,102.0
1900000,0.095,92.0
1920000,0.096,103.5
1940000,0.097,107.8
1960000,0.098,103.5
1980000,0.099,103.5
2000000,0.100,100.6
2020000,0.101,106.3
2040000,0.102,111.9
2060000,0.103,93.4
2080000,0.104,106.3
2100000,0.105,109.2
2120000,0.106,102.0
2140000,0.107,92.0
