compress: success
compress
CYC: 297331
STALL: 156965
BUN: 114786
SYL: 459156
NOP: 208630
IACC: 140417
IMISS: 1095
DRACC: 29061
DRMISS: 1043
DWACC: 37074
DWMISS: 22439

median: success
median
CYC: 857521
STALL: 258652
BUN: 514789
SYL: 2059168
NOP: 465443
IACC: 598926
IMISS: 1468
DRACC: 68151
DRMISS: 13240
DWACC: 41740
DWMISS: 26761

