configuration,dcache,icache,area,executionCycles,energy,timing,cyc,stall,bun,syl,nop,iacc,imiss,dracc,drmiss,dwacc,dwmiss
1111:1111:4:8k:4k,4k,8k,7457.4,2200759,11.98,True,501408,87508,358262,2055682,324203,394916,287,85500,5728,18589,13969
11000000:1000:8:8k:4k,4k,8k,8324.800000000001,1723140,8.33,True,831036,185992,576967,3440848,1185415,645093,623,110632,12158,26359,20244
11000000:4:8k:8k,8k,8k,6385.6,2367330,7.60,True,1408687,179226,1050429,6254515,1481951,1229489,604,265926,15597,49292,36808
11111111:1000:8:4k:4k,4k,4k,8532.5,1494247,8.00,True,794811,201583,525162,3026400,761548,593287,893,110632,12158,26359,20249
1100:1100:4:4k:4k,4k,4k,7345.0,2165883,8.10,True,497892,93410,348848,2055703,324211,338257,622,85457,5707,18552,13924
11100000:1000:4:16k:16k,16k,16k,12660.9,1544066,12.11,True,786538,155555,553416,2808618,539061,631017,549,110632,8960,26359,19358
11111111:1100:4:2k:2k,2k,2k,7914.9,1687376,8.08,True,914640,307213,525164,2752128,487265,607476,7711,110633,16192,26360,20308
11100000:1000:2:4k:4k,4k,4k,8244.4,1633232,8.50,True,824827,171545,553404,2445447,175917,653298,401,110631,12158,26356,20242
11100000:1000:2:16k:4k,4k,16k,8727.7,1632629,8.59,True,824422,171141,553404,2445447,175917,653298,363,110631,12158,26356,20242
1111:1111:1100:2:4k:4k,4k,4k,9514.800000000001,1609867,10.33,True,555642,112800,373823,1771891,64714,413696,313,39252,3650,18117,12103
1111:1111:8:4k:4k,4k,4k,7232.4,2410553,8.44,True,589215,185259,360797,2866284,1134738,388212,6083,91983,5899,18953,13764
11000000:1000:4:4k:4k,4k,4k,8279.5,1769437,9.59,True,840163,181596,576964,2902810,647382,658614,736,110632,12158,26359,20246
11000000:1000:1000:4:8k:8k,8k,8k,11688.4,2513377,8.53,True,1514218,360315,1050487,8403923,3631217,1153961,11857,265933,20090,49303,36946
1000:1000:4:8k:8k,8k,8k,7720.5,2330730,8.74,True,526494,74930,391218,2357048,635016,368311,290,86046,3915,18734,13931
1000:1000:1000:2:8k:8k,8k,8k,10283.4,1642059,9.57,True,558108,96122,406788,1875494,177744,455999,299,39660,3412,18117,11943
1000:1000:1000:8:2k:2k,2k,2k,9197.500000000002,1921793,8.65,True,704081,256547,407944,2750868,1053057,301587,7668,38561,4298,18017,12025
1100:1100:2:4k:4k,4k,4k,7326.0,2209609,11.46,True,509541,85738,348821,1798946,67523,322175,207,89971,5765,18777,14049
11000000:2:8k:8k,8k,8k,6470.1,2341927,8.59,True,1394323,176461,1050364,5314286,541887,1217874,393,265921,15597,49278,36802
1111:1111:2:8k:4k,4k,8k,7746.4,2280314,12.12,True,523483,85592,358211,1780029,48670,340565,177,89950,5743,18759,14029
11000000:1000:2:4k:4k,4k,4k,8496.0,1747095,9.28,True,846296,169467,576953,2501962,246561,676846,401,110631,12158,26356,20240
11000000:1000:2:4k:4k,4k,4k,8496.0,1747095,9.28,True,846296,169467,576953,2501962,246561,676846,401,110631,12158,26356,20240
11111111:1100:8:8k:8k,8k,8k,9029.9,1415377,8.26,True,769648,176410,525161,3026400,761548,593287,621,110632,10029,26359,20179
11100000:1000:4:4k:4k,4k,4k,8437.4,1637413,8.52,True,815511,184540,553416,2808618,539061,631017,736,110632,12158,26359,20247
1111:1111:1100:4:4k:4k,4k,4k,9609.300000000001,1572620,10.01,True,546297,127339,373838,2014959,307749,414626,682,39777,3677,18088,12073
11111111:1100:2:2k:2k,2k,2k,7953.4,1653077,8.56,True,926540,301514,525156,2445479,180634,625054,8247,110632,16187,26356,20302
11000000:2:8k:16k,16k,8k,9036.1,2310727,14.99,True,1375628,157766,1050364,5314286,541887,1217874,393,265921,12538,49278,36765
1000:1000:8:2k:2k,2k,2k,7183.0,3036501,6.09,True,778897,341877,393861,3130022,1407895,350105,12482,87864,9475,18707,13904
1000:1000:2:8k:8k,8k,8k,7570.5,2335720,11.02,True,533195,71727,391186,1883659,161706,359516,175,92377,3947,19469,13807
11100000:1000:4:1024:1024:1024,1024,1024,7981.4,3105431,7.71,True,1413741,782771,553422,2808642,539070,631023,19772,110633,49620,26360,20453
11000000:2:2k:2k,2k,2k,6039.000000000001,2678422,7.04,True,1626016,408094,1050418,5314465,541925,1217933,10071,265928,31852,49289,37076
1000:1000:1100:2:4k:4k,4k,4k,9174.400000000001,1702521,9.65,True,573944,111953,406794,1875512,177747,455978,319,39586,3661,18116,12054
11000000:2:8k:8k,8k,8k,6470.1,2341927,8.59,True,1394323,176461,1050364,5314286,541887,1217874,393,265921,15597,49278,36802
11000000:2:4k:16k,16k,4k,8327.599999999999,2310086,13.90,True,1375374,157512,1050364,5314286,541887,1217874,409,265921,12538,49278,36765
1000:1000:1000:4:8k:8k,8k,8k,10096.9,1687828,9.90,True,561594,104956,406799,2316349,618574,150239,454,74302,4503,18118,11940
11000000:4:16k:4k,4k,16k,6250.2,2412042,7.25,True,1436482,207005,1050438,6254553,1481965,1229500,558,265927,20090,49294,36942
1000:1000:1000:8:8k:8k,8k,8k,10093.9,1655109,8.54,True,560059,112771,407690,2750805,1053024,301501,651,39942,3409,18052,11971
1000:1000:1000:2:2k:2k,2k,2k,9118.500000000002,1876796,10.16,True,703212,241221,406797,1875522,177749,162836,8152,38559,4294,18107,12126
11100000:1000:4:512:512,512,512,7892.4,13006337,5.01,True,4486861,3855880,553452,2808762,539114,631055,184664,110637,60388,26366,20567
1000:1000:4:2k:2k,2k,2k,7083.5,2703797,8.09,True,636168,184609,391217,2357047,635018,425868,4614,87973,9440,18847,14039
11100000:1000:8:4k:4k,4k,4k,8026.9,1629657,7.05,True,819650,198161,553419,3252461,982900,621545,894,110632,12158,26359,20244
1111:1111:1100:8:4k:4k,4k,4k,9438.300000000001,1578118,8.78,True,553954,139469,374893,2487119,779896,320361,979,68955,5973,18022,11999
1111:1111:2:4k:4k,4k,4k,7462.9,2281525,11.49,True,523980,86085,358232,1780089,48679,340096,196,89957,5742,18753,14020
11000000:1000:2:8k:4k,4k,8k,8305.300000000001,1746728,9.23,True,846084,169251,576953,2501966,246563,676850,386,110631,12158,26355,20241
11000000:2:4k:2k,2k,4k,5753.000000000001,2508355,8.20,True,1494967,277095,1050373,5314316,541893,1217883,409,265922,31852,49280,37072
11100000:1000:4:8k:4k,4k,8k,8623.7,1635044,7.27,True,813606,182622,553416,2808618,539061,631017,582,110632,12158,26359,20248
11000000:4:2k:2k,2k,2k,6082.000000000001,2772586,7.13,True,1683045,453532,1050483,6254745,1482040,1229552,13642,265933,31852,49303,37081
11000000:1100:8:8k:8k,8k,8k,8749.4,1667363,8.75,True,815641,170594,576967,3440848,1185415,645093,623,110632,10029,26359,20174
11111111:1000:2:4k:4k,4k,4k,8352.5,1497982,8.49,True,800265,175242,525147,2445447,180627,625040,401,110631,12158,26356,20245
1000:1000:1000:4:2k:2k,2k,2k,8920.000000000002,1929959,9.88,True,697661,241021,406805,2316372,618581,444326,7375,76252,10686,18083,12097
11000000:1000:4:4k:4k,4k,4k,8279.5,1769437,9.59,True,840163,181596,576964,2902810,647382,658614,736,110632,12158,26359,20246
11100000:1000:8:16k:16k,16k,16k,12508.9,1515124,11.22,True,783481,161973,553419,3252461,982898,621545,580,110632,8960,26359,19353
1000:1000:2:2k:2k,2k,2k,6827.0,2645719,9.20,True,624926,163455,391192,1883677,161708,400677,3042,86515,9319,19088,13975
