FPGA idle power [mW]:,3565.3

Program energy [mJ]:,14.86

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,87.5
20000,0.001,137.8
40000,0.002,142.3
60000,0.003,136.4
80000,0.004,137.8
100000,0.005,137.8
120000,0.006,119.1
140000,0.007,35.7
160000,0.008,120.6
180000,0.009,120.6
200000,0.010,126.3
220000,0.011,125.2
240000,0.012,150.8
260000,0.013,147.9
280000,0.014,94.7
300000,0.015,83.2
320000,0.016,133.5
340000,0.017,129.2
360000,0.018,140.7
380000,0.019,145.0
400000,0.020,142.3
420000,0.021,140.7
440000,0.022,140.7
460000,0.023,145.0
480000,0.024,146.5
500000,0.025,145.0
520000,0.026,142.2
540000,0.027,139.3
560000,0.028,146.5
580000,0.029,146.9
600000,0.030,143.6
620000,0.031,140.7
640000,0.032,143.6
660000,0.033,137.8
680000,0.034,140.7
700000,0.035,143.6
720000,0.036,133.5
740000,0.037,140.7
760000,0.038,139.2
780000,0.039,142.2
800000,0.040,140.7
820000,0.041,133.5
840000,0.042,140.7
860000,0.043,145.0
880000,0.044,145.0
900000,0.045,133.5
920000,0.046,145.0
940000,0.047,133.0
960000,0.048,139.3
980000,0.049,137.8
1000000,0.050,140.7
1020000,0.051,137.8
1040000,0.052,146.5
1060000,0.053,137.8
1080000,0.054,136.4
1100000,0.055,140.7
1120000,0.056,137.6
1140000,0.057,140.7
1160000,0.058,136.4
1180000,0.059,137.8
1200000,0.060,139.3
1220000,0.061,137.8
1240000,0.062,143.6
1260000,0.063,147.9
1280000,0.064,143.6
1300000,0.065,137.6
1320000,0.066,137.8
1340000,0.067,147.9
1360000,0.068,147.9
1380000,0.069,146.5
1400000,0.070,149.4
1420000,0.071,146.5
1440000,0.072,135.0
1460000,0.073,127.8
1480000,0.074,120.6
1500000,0.075,136.4
1520000,0.076,137.8
1540000,0.077,126.3
1560000,0.078,124.9
1580000,0.079,135.0
1600000,0.080,127.8
1620000,0.081,132.1
1640000,0.082,109.1
1660000,0.083,120.6
1680000,0.084,140.7
1700000,0.085,133.5
1720000,0.086,143.6
1740000,0.087,139.3
1760000,0.088,139.3
1780000,0.089,145.0
1800000,0.090,137.8
1820000,0.091,143.6
1840000,0.092,143.8
1860000,0.093,122.0
1880000,0.094,60.2
1900000,0.095,91.8
1920000,0.096,111.9
1940000,0.097,107.6
1960000,0.098,100.4
1980000,0.099,94.7
2000000,0.100,100.4
2020000,0.101,108.2
2040000,0.102,101.9
2060000,0.103,116.3
2080000,0.104,106.2
2100000,0.105,99.0
2120000,0.106,97.6
2140000,0.107,107.6
2160000,0.108,116.3
2180000,0.109,97.6
2200000,0.110,98.9
2220000,0.111,109.1
2240000,0.112,103.3
2260000,0.113,104.8
2280000,0.114,94.7
