FPGA idle power [mW]:,3557.4

Program energy [mJ]:,9.79

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,6.2
20000,0.001,39.3
40000,0.002,43.6
60000,0.003,20.0
80000,0.004,53.7
100000,0.005,47.9
120000,0.006,40.7
140000,0.007,22.0
160000,0.008,58.0
180000,0.009,56.5
200000,0.010,55.1
220000,0.011,52.2
240000,0.012,77.3
260000,0.013,70.9
280000,0.014,59.4
300000,0.015,24.9
320000,0.016,79.6
340000,0.017,82.4
360000,0.018,86.8
380000,0.019,86.8
400000,0.020,89.6
420000,0.021,106.8
440000,0.022,115.5
460000,0.023,122.7
480000,0.024,117.0
500000,0.025,117.0
520000,0.026,111.2
540000,0.027,117.0
560000,0.028,117.0
580000,0.029,112.7
600000,0.030,119.2
620000,0.031,92.5
640000,0.032,91.1
660000,0.033,93.9
680000,0.034,78.1
700000,0.035,101.1
720000,0.036,98.3
740000,0.037,96.8
760000,0.038,76.7
780000,0.039,82.0
800000,0.040,92.5
820000,0.041,101.1
840000,0.042,112.7
860000,0.043,124.2
880000,0.044,115.5
900000,0.045,106.9
920000,0.046,108.3
940000,0.047,118.4
960000,0.048,100.6
980000,0.049,125.6
1000000,0.050,98.3
1020000,0.051,98.3
1040000,0.052,105.5
1060000,0.053,91.1
1080000,0.054,92.5
1100000,0.055,93.9
1120000,0.056,104.0
1140000,0.057,99.0
1160000,0.058,89.6
1180000,0.059,89.6
1200000,0.060,108.3
1220000,0.061,105.5
1240000,0.062,115.5
1260000,0.063,111.2
1280000,0.064,118.4
1300000,0.065,109.8
1320000,0.066,111.4
1340000,0.067,115.5
1360000,0.068,118.4
1380000,0.069,112.7
1400000,0.070,118.4
1420000,0.071,88.2
1440000,0.072,95.4
1460000,0.073,105.5
1480000,0.074,89.6
1500000,0.075,97.5
1520000,0.076,108.3
1540000,0.077,92.5
1560000,0.078,89.6
1580000,0.079,93.9
1600000,0.080,96.8
1620000,0.081,106.9
1640000,0.082,112.7
1660000,0.083,121.3
1680000,0.084,128.5
1700000,0.085,111.2
1720000,0.086,122.7
1740000,0.087,118.4
1760000,0.088,50.8
1780000,0.089,36.4
1800000,0.090,65.2
1820000,0.091,75.2
1840000,0.092,78.1
1860000,0.093,80.4
1880000,0.094,76.7
1900000,0.095,68.1
1920000,0.096,70.9
1940000,0.097,73.8
1960000,0.098,68.1
1980000,0.099,63.7
2000000,0.100,73.8
2020000,0.101,68.1
2040000,0.102,65.0
2060000,0.103,68.1
2080000,0.104,76.7
2100000,0.105,75.2
2120000,0.106,60.9
2140000,0.107,69.5
2160000,0.108,73.8
2180000,0.109,66.6
2200000,0.110,73.8
