FPGA idle power [mW]:,3568.9

Program energy [mJ]:,11.15

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,34.9
20000,0.001,81.0
40000,0.002,40.7
60000,0.003,27.8
80000,0.004,60.9
100000,0.005,79.6
120000,0.006,68.1
140000,0.007,27.8
160000,0.008,36.4
180000,0.009,34.9
200000,0.010,35.0
220000,0.011,37.9
240000,0.012,30.7
260000,0.013,27.8
280000,0.014,26.3
300000,0.015,23.5
320000,0.016,32.1
340000,0.017,26.3
360000,0.018,22.5
380000,0.019,29.2
400000,0.020,32.1
420000,0.021,22.0
440000,0.022,20.6
460000,0.023,20.6
480000,0.024,70.9
500000,0.025,95.4
520000,0.026,101.2
540000,0.027,104.6
560000,0.028,102.6
580000,0.029,104.0
600000,0.030,101.2
620000,0.031,99.7
640000,0.032,106.9
660000,0.033,109.8
680000,0.034,114.1
700000,0.035,92.5
720000,0.036,103.0
740000,0.037,109.8
760000,0.038,105.5
780000,0.039,104.0
800000,0.040,106.9
820000,0.041,115.5
840000,0.042,115.5
860000,0.043,104.0
880000,0.044,102.6
900000,0.045,106.1
920000,0.046,109.8
940000,0.047,104.0
960000,0.048,92.5
980000,0.049,111.2
1000000,0.050,109.8
1020000,0.051,104.0
1040000,0.052,101.2
1060000,0.053,109.8
1080000,0.054,109.2
1100000,0.055,99.7
1120000,0.056,95.4
1140000,0.057,109.8
1160000,0.058,111.2
1180000,0.059,98.3
1200000,0.060,98.3
1220000,0.061,106.9
1240000,0.062,114.1
1260000,0.063,104.6
1280000,0.064,101.2
1300000,0.065,101.2
1320000,0.066,104.0
1340000,0.067,118.4
1360000,0.068,95.4
1380000,0.069,101.2
1400000,0.070,108.3
1420000,0.071,111.2
1440000,0.072,106.1
1460000,0.073,105.5
1480000,0.074,112.7
1500000,0.075,114.1
1520000,0.076,109.8
1540000,0.077,109.8
1560000,0.078,106.9
1580000,0.079,106.9
1600000,0.080,105.5
1620000,0.081,104.6
1640000,0.082,115.5
1660000,0.083,112.7
1680000,0.084,111.2
1700000,0.085,111.2
1720000,0.086,99.7
1740000,0.087,108.3
1760000,0.088,111.2
1780000,0.089,111.2
1800000,0.090,109.2
1820000,0.091,112.7
1840000,0.092,109.8
1860000,0.093,106.9
1880000,0.094,104.0
1900000,0.095,104.0
1920000,0.096,109.8
1940000,0.097,106.9
1960000,0.098,111.2
1980000,0.099,93.7
2000000,0.100,16.3
2020000,0.101,65.2
2040000,0.102,101.2
2060000,0.103,105.5
2080000,0.104,98.3
2100000,0.105,105.5
2120000,0.106,112.7
2140000,0.107,106.9
2160000,0.108,104.6
2180000,0.109,106.9
2200000,0.110,99.7
2220000,0.111,94.0
2240000,0.112,101.2
2260000,0.113,98.3
2280000,0.114,114.1
2300000,0.115,101.2
2320000,0.116,104.0
2340000,0.117,93.7
2360000,0.118,106.9
2380000,0.119,102.6
2400000,0.120,102.6
2420000,0.121,85.3
2440000,0.122,108.3
