FPGA idle power [mW]:,3579.8

Program energy [mJ]:,12.90

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,78.7
20000,0.001,100.3
40000,0.002,50.0
60000,0.003,97.4
80000,0.004,107.6
100000,0.005,87.4
120000,0.006,38.5
140000,0.007,101.8
160000,0.008,107.5
180000,0.009,104.6
200000,0.010,83.1
220000,0.011,124.8
240000,0.012,123.3
260000,0.013,54.9
280000,0.014,67.2
300000,0.015,111.8
320000,0.016,120.5
340000,0.017,127.7
360000,0.018,123.3
380000,0.019,119.0
400000,0.020,140.6
420000,0.021,140.6
440000,0.022,138.6
460000,0.023,132.0
480000,0.024,136.3
500000,0.025,143.5
520000,0.026,127.7
540000,0.027,134.9
560000,0.028,134.9
580000,0.029,137.7
600000,0.030,134.9
620000,0.031,140.2
640000,0.032,132.0
660000,0.033,132.0
680000,0.034,143.5
700000,0.035,129.1
720000,0.036,133.4
740000,0.037,129.1
760000,0.038,133.4
780000,0.039,137.7
800000,0.040,132.4
820000,0.041,134.9
840000,0.042,139.2
860000,0.043,129.1
880000,0.044,136.3
900000,0.045,134.9
920000,0.046,129.1
940000,0.047,133.4
960000,0.048,121.9
980000,0.049,120.0
1000000,0.050,117.6
1020000,0.051,119.0
1040000,0.052,129.1
1060000,0.053,133.4
1080000,0.054,119.0
1100000,0.055,121.9
1120000,0.056,126.2
1140000,0.057,120.5
1160000,0.058,127.8
1180000,0.059,132.0
1200000,0.060,136.3
1220000,0.061,136.3
1240000,0.062,137.7
1260000,0.063,137.7
1280000,0.064,137.7
1300000,0.065,144.9
1320000,0.066,139.2
1340000,0.067,135.5
1360000,0.068,133.4
1380000,0.069,140.6
1400000,0.070,136.3
1420000,0.071,134.9
1440000,0.072,136.3
1460000,0.073,134.9
1480000,0.074,129.1
1500000,0.075,137.7
1520000,0.076,130.9
1540000,0.077,132.0
1560000,0.078,142.0
1580000,0.079,136.3
1600000,0.080,130.5
1620000,0.081,129.1
1640000,0.082,139.2
1660000,0.083,140.6
1680000,0.084,55.7
1700000,0.085,78.2
1720000,0.086,119.0
1740000,0.087,114.7
1760000,0.088,107.5
1780000,0.089,113.3
1800000,0.090,106.1
1820000,0.091,107.5
1840000,0.092,109.0
1860000,0.093,109.0
1880000,0.094,106.1
1900000,0.095,109.0
1920000,0.096,109.0
1940000,0.097,103.2
1960000,0.098,104.6
1980000,0.099,111.8
2000000,0.100,106.1
2020000,0.101,113.3
2040000,0.102,104.6
2060000,0.103,118.5
2080000,0.104,110.4
2100000,0.105,109.0
2120000,0.106,111.8
