FPGA idle power [mW]:,3530.5

Program energy [mJ]:,7.50

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-4.3
20000,0.001,44.6
40000,0.002,48.9
60000,0.003,38.8
80000,0.004,48.9
100000,0.005,54.7
120000,0.006,47.5
140000,0.007,34.5
160000,0.008,46.0
180000,0.009,56.1
200000,0.010,57.5
220000,0.011,56.1
240000,0.012,71.9
260000,0.013,73.4
280000,0.014,44.6
300000,0.015,38.8
320000,0.016,53.1
340000,0.017,61.9
360000,0.018,57.5
380000,0.019,63.3
400000,0.020,63.3
420000,0.021,61.9
440000,0.022,73.4
460000,0.023,64.7
480000,0.024,66.2
500000,0.025,74.8
520000,0.026,73.4
540000,0.027,69.1
560000,0.028,71.9
580000,0.029,67.6
600000,0.030,69.1
620000,0.031,71.9
640000,0.032,63.3
660000,0.033,66.2
680000,0.034,68.6
700000,0.035,59.0
720000,0.036,56.1
740000,0.037,63.3
760000,0.038,60.4
780000,0.039,63.3
800000,0.040,67.6
820000,0.041,60.4
840000,0.042,54.7
860000,0.043,65.5
880000,0.044,61.9
900000,0.045,64.7
920000,0.046,71.9
940000,0.047,71.9
960000,0.048,76.3
980000,0.049,70.5
1000000,0.050,70.5
1020000,0.051,74.8
1040000,0.052,65.5
1060000,0.053,63.3
1080000,0.054,69.1
1100000,0.055,59.0
1120000,0.056,61.9
1140000,0.057,54.7
1160000,0.058,66.2
1180000,0.059,53.2
1200000,0.060,64.7
1220000,0.061,59.3
1240000,0.062,67.6
1260000,0.063,60.4
1280000,0.064,56.1
1300000,0.065,57.5
1320000,0.066,67.6
1340000,0.067,74.8
1360000,0.068,69.1
1380000,0.069,60.4
1400000,0.070,70.2
1420000,0.071,73.4
1440000,0.072,69.1
1460000,0.073,59.0
1480000,0.074,74.8
1500000,0.075,70.5
1520000,0.076,71.9
1540000,0.077,79.1
1560000,0.078,60.4
1580000,0.079,60.9
1600000,0.080,66.2
1620000,0.081,57.5
1640000,0.082,59.0
1660000,0.083,59.0
1680000,0.084,57.5
1700000,0.085,69.1
1720000,0.086,63.3
1740000,0.087,57.5
1760000,0.088,62.4
1780000,0.089,63.3
1800000,0.090,70.5
1820000,0.091,74.8
1840000,0.092,69.1
1860000,0.093,64.7
1880000,0.094,67.6
1900000,0.095,73.4
1920000,0.096,73.4
1940000,0.097,43.8
1960000,0.098,38.8
1980000,0.099,73.4
2000000,0.100,74.8
2020000,0.101,64.7
2040000,0.102,64.7
2060000,0.103,66.2
2080000,0.104,69.1
2100000,0.105,60.4
2120000,0.106,54.7
2140000,0.107,64.7
2160000,0.108,70.5
2180000,0.109,63.3
2200000,0.110,59.0
2220000,0.111,56.1
2240000,0.112,60.4
2260000,0.113,71.9
2280000,0.114,53.2
2300000,0.115,62.4
2320000,0.116,66.2
2340000,0.117,64.7
2360000,0.118,59.0
2380000,0.119,69.1
